\	šestitřídka–NC	šestitřídní–AC						
\	šestiliberka–NC	šestiliberní–AC						
\	pětitřídka–N	pětitřídní–A						
	republika–N	republička–N						
	harmonika–N	harmonička–N						
	Hedvika–N	Hedvička–N						
	humus–N	humusovitý–A						
	půlkruh–N	půlkruhovitý–AC						
	Tyrolsko–N	Tyrolan–N						
	Savojsko–N	Savojan–N						
\	Moldavsko–N	Moldavan–N						
	vysměvač–N	vysměváček–N						
	utrhač–N	utrháček–N						
\	hledač–N	hledáček–N						
\	ostnatý–A	ostnitý–A						
\	rýhovatý–A	rýhovitý–A						
\	žilovatý–A	žilovitý–A						
\	lajsna–N	lajska–N						
\	vegetárna–N	vegetárka–N						
\	dobrounký–A	dobroučký–A						
\	kraťounký–A	kraťoučký–A						
\	řiďounký–A	řiďoučký–A						
\	malíř–N	maléř–N						
\	prubíř–N	prubéř–N						
\	halíř–N	haléř–N						
	jitro–N	jiterní–A						
	patro–N	paterní–A						
\	stearin–N	stearín–N						
\	parafin–N	parafín–N						
\	penicilin–N	penicilín–N						
	veslo–N	vesílko–N						
	máslo–N	másílko–N						
	řemeslo–N	řemesílko–N						
\	Zajordání–N	Zajordánsko–N						
\	Zakavkazí–N	Zakavkazsko–N						
\	Porýní–N	Porýnsko–N						
	Hamburk–N	Hamburčan–N						
	Nymburk–N	Nymburčan–N						
	Irák–N	Iráčan–N						
	výhra–N	výhřička–N						
	vzpoura–N	vzpouřička–N						
	šťára–N	šťářička–N						
\	třenový–A	třenovní–A						
\	pumpový–A	pumpovní–A						
	úterý–N	úterní–A						
\	hovnivál–NC	hovnivár–N						
\	brundibál–N	brundibár–N						
\	virvál–N	virvár–N						
\	smokink–N	smoking–N						
\	rank–N	rang–N						
\	pudink–N	puding–N						
	ischias–N	ischiatický–A						
	démos–N	démotický–A						
	šachta–N	šachetní–A						
	jachta–N	jachetní–A						
\	železitý–A	železovitý–A						
\	řemenitý–A	řemenovitý–A						
\	brázditý–A	brázdovitý–A						
	prokouknout–V	prokukovat–V						
	vykouknout–V	vykukovat–V						
	nakouknout–V	nakukovat–V						
	Tádžik–N	Tádžikistán–N						
\	manichejec–N	manichejský–A						
	mikulášenec–N	mikulášenský–A						
	májovec–N	májovský–A						
\	matkovrah–N	matkovražda–N						
\	otcovrah–N	otcovražda–N						
\	bratrovrah–N	bratrovražda–NC						
	chocholáč–N	chocholačka–N						
\	ženáč–N	ženačka–N						
\	miocén–N	miocenní–A						
\	eocén–N	eocenní–A						
\	pliocén–N	pliocenní–A						
	Miluše–N	Miluška–N						
	Libuše–N	Libuška–N						
	kremrole–N	kremrolka–N						
\	vdech–N	vdych–N						
\	oddech–N	oddych–N						
\	vzdech–N	vzdych–N						
\	pachtýř–N	pachtéř–N						
\	vartýř–N	vartéř–N						
\	haltýř–N	haltéř–N						
	právník–N	právnička–N						
\	Ludvík–N	Ludvička–N						
	nekatolík–None	nekatolička–N						
	hlezno–N	hlezenní–A						
