128 GROUPS FOR RULE COMBINATION: N-e --> A-ký, N-k --> A-cký				
				
rozstříknout	rozstříknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
roztrhnout	roztrhnutý	V-nout --> A-nutý		
roztrhnout	roztrhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
roztáhnout	roztáhnutý	V-nout --> A-nutý		
roztáhnout	roztáhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
rozvinout	rozvinutý	V-nout --> A-nutý		
rozvinout	rozvinutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
rozžehnout	rozžehnutý	V-nout --> A-nutý		
rozžehnout	rozžehnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
sepnout	sepnutý	V-nout --> A-nutý		
sepnout	sepnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
setnout	setnutý	V-nout --> A-nutý		
setnout	setnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
shlédnout	shlédnutý	V-nout --> A-nutý		
shlédnout	shlédnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
sklenout	sklenutý	V-nout --> A-nutý		
sklenout	sklenutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
sloupnout	sloupnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
slupnout	sloupnutý	V-nout --> A-nutý	CHANGE: u -> ou	
				
spřáhnout	spřáhnutý	V-nout --> A-nutý		
spřáhnout	spřáhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
strhnout	strhnutý	V-nout --> A-nutý		
strhnout	strhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
strnout	strnutý	V-nout --> A-nutý		
strnout	strnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
stáhnout	stáhnutý	V-nout --> A-nutý		
stáhnout	stáhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
svléknout	svlíknutý	V-nout --> A-nutý	CHANGE: é -> í	
svlíknout	svlíknutý	V-nout --> A-nutý		
svlíknout	svlíknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
svrhnout	svrhnutý	V-nout --> A-nutý		
svrhnout	svrhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
tipnout	típnutý	V-nout --> A-nutý	CHANGE: i -> í	
típnout	típnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
tisknout	tisknutý	V-nout --> A-nutý		
tisknout	tisknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
táhnout	táhnutý	V-nout --> A-nutý		
táhnout	táhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
uhnout	uhnutý	V-nout --> A-nutý		
uhnout	uhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
umanout	umanutý	V-nout --> A-nutý		
umanout	umanutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
upnout	upnutý	V-nout --> A-nutý		
upnout	upnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
ustřihnout	ustříhnutý	V-nout --> A-nutý	CHANGE: i -> í	
ustříhnout	ustříhnutý	V-nout --> A-nutý		
ustříhnout	ustříhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
utnout	utnutý	V-nout --> A-nutý		
utnout	utnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
utonout	utonutý	V-nout --> A-nutý		
utonout	utonutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
utrhnout	utrhnutý	V-nout --> A-nutý		
utrhnout	utrhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
utáhnout	utáhnutý	V-nout --> A-nutý		
utáhnout	utáhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
uzamknout	uzamknutý	V-nout --> A-nutý		
uzamknout	uzamknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vcucnout	vcucnutý	V-nout --> A-nutý		
vcucnout	vcucnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vinout	vinutý	V-nout --> A-nutý		
vinout	vinutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vsunout	vsunutý	V-nout --> A-nutý		
vsunout	vsunutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vtisknout	vtisknutý	V-nout --> A-nutý		
vtisknout	vtisknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vybouchnout	vybouchnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
vybuchnout	vybouchnutý	V-nout --> A-nutý	CHANGE: u -> ou	
				
vydychnout	vydýchnutý	V-nout --> A-nutý	CHANGE: y -> ý	
vydýchnout	vydýchnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vyhlédnout	vyhlédnutý	V-nout --> A-nutý		
vyhlédnout	vyhlédnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vyhnout	vyhnutý	V-nout --> A-nutý		
vyhnout	vyhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
vyhrnout	vyhrnutý	V-nout --> A-nutý		
