Abraham	Abrahám
datel	dál,dát,daleký
daň	Dan,Dán,Daniel
dbát	bát,nedbat
debrujár	debrujář
dehydrovat	rehydrovat
dekl	deka,Ola,nikl,dé,dekovat,deklinovat
dementi	demence
demoralisovat	zdemoralisovat
den	zen,dé,denár,dna,deka
deprese	represe,depresář
deska	desátek,deka
desátek	desátník
detail	retail
dezert	dezertovat
diferenciovat	diferencovat
diferencovat	diferenciovat
dimense	dimenze
dimenze	dimense
disciplína	disciplinovat
dispens	dispenz,dispensovat
dispenz	dispens,dispensovat
distanc	distance
distance	distanc
distribuce	redistribuce
dlabat	Dlabač
dlouhý	dlouhatý,dloužit,zdlouhavý
dmychat	dmýchat
dmýchat	dmychat
dna	dno
dno	dna,dé,dýně,den,Poe,déšť,dát,deka,půda,Dák,vně,přední,oj,sto,dík,Nat,Doyle,příroda,snout,půst,pot,dít,cé,podlý,dekovat,Antily,zeď,dnít,pod,donace,předek,ovce,Don,ďas,dýka,dock,deal,nový,zen,pozdě,Zdena,dítě,Ind,oko,vát,necky,voda,Voda,sát,nadít,dávný,Dyk,dioda,nářadí,seno,antika,zrno,datel,snadný,přesný,jiný,vdova,udit,Sup,Vey,zet,set,dívat,zlý,mnout,jíní,čin,Nos,nos,Ota,zvát,zvát,dout,soda,anoda,svůdný,zívat,zdát,udice,sud,Stoy,psát,řvát,um,ujec,zajíc,zeť,Onan,uzda,Zdeněk,různý,záda,dole,Dan,Zadov,sen,Dán,Inuit,dar,Daan,Ob,Zedník,Nostic,zem,denár,bé,vset,nést,oblý,Zdíkov,znát,dál,divý,kdy,alt,meč,Pozdník,dům,prostý,op,doba,síci,póza,Yale,Novák,Nick,pravý
dnít	znít,podnět,nit,nítit,zanítit,odpřírodnit,zenit,nový
doba	nádoba,dobnout,Dobš
dobrý	dobrodit
doch	ucho,duch,Zich,nach,deka,Ota,udice,dock,mech,antika,cé,dýka,ořech,čich,zeď,udit,nadít,Duša,pod,prach,edice,donace,ujec,cech,záducha,kdy
dochutit	ochutit
docpat	procpat
dokládat	ukládat,kládat
dokrojit	okrojit
dolar	solar
dole	důl
domejšlet	promejšlet,pomejšlet
domicilát	domicil
donace	Don
doprovodit	vyprovodit
dopřádat	opřádat,zapřádat,upřádat,vypřádat
doslat	poslat,vyslat,zaslat
dostat	ostat
dostoupit	stoupit
dostřihat	střihat,nastřihat
dostříhnout	stříhnout
dosychat	osychat,dosýchat
dosýchat	dosychat,osýchat
doufat	zoufat
dout	out,zout,rozdout
dovrtit	uvrtit,povrtit
dovíjet	províjet
dozor	pozor
dočmuchat	pročmuchat
doškicnout	oškicnout
drahý	dráha,Drahovice,podražec
dredovatět	zdredovatět
dres	dredy
drobet	drobit,drobeček,drob
drobit	drobet
družit	družička
drát	odrat,prodrat,dravý,zrát,orat,dráp,nadrat,zadrat
drén	drénovat,drenovat,dřín
držet	držka
dub	Dubček,Dubaj,zub,Dubeč,ďubka,doba,dobnout,dubl,dudy,ďubnout
duch	vzduch
duh	duha,dužina
dupat	zupat
dusat	dusný,dusit
duše	Duša,Dušín
dvojit	dvojí
dvojka	dvojí,dvojkař,dvojit,dvojný
dvojnásobek	dvojnásobit
dvojnásobit	dvojnásobek
dvůr	dvojka,vor,dvojí,dvojný
dál	dálný
dát	zdát,Dák,dálný,datel,dál,Dán,dna,dno,dávný,dé,Dan,prát,dout,datle,daněk,sát,přední,příroda,dýně,dávit,snout,dock,vně
dé	dno
déšť	dé,deka,dít,dno,dítě,zeď,dekovat,dík,zeť,den,udit,udice
dík	dé,Dyk,dít,dítě,deka,dýka,dívat,diktovat,zívat,Dák,Zdíkov,zet,dock,předek,oj,disk,déšť,Zedník,dekovat,dok
díra	Dírná
dít	dítě,dívat,dé,dík,rdít,nadít,zívat,déšť
dítě	dít,dívat,dík,dé,zíta,déšť,divý,rdít,zívat,zet,zeď,nadít,díra,Zita,udit,deka,den,díl,zděř
dívat	dít,dítě
dým	rým,dýmit,dýmkář
děd	dědit
dědit	dědina
dřevosochat	dřevosochař
dřít	dřín,zřít
dštít	štít
důl	dole
dům	um
džíny	žíně
ekoteror	teror
esej	eses,přesný,svůj,Esop
expres	exprese
exprese	expres
fajfkař	fajfkář
fajfkář	fajfkař
faktum	faktura,faktor
fant	fantom,Fantomas,zfantit,fan,fantóm,ašant,fantazie,fanatik,Diofantos,fág
fantom	fantóm,Fantomas
fantóm	fantom
fara	fárat,farad
