# Derivations intermediate from 'srov'
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

# EtymDict: "derivation" is maybe derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"

# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation

# WARNING - its complicated and the anotation was made really quickly by average person, not linguist!

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct



parent	grandparent	derivation
validní#AA???----??---?	devalvovat#V????--??-??B??	validita#NNF??-----A---?
dedukovat#V????--??-??B??	deviace#NNF??-----A---?	viadukt#NNI??-----A---?
rezerva#NNF??-----A---?	dezert#NNI??-----A---?	rezervovat#V????--??-??B??
asertivní#AA???----??---?	dezertovat#V????--??-??B??	disertace#NNF??-----A---?
angrešt#NNI??-----A---?	diabetik#NNM??-----A---?	akrobat#NNM??-----A---?
synchron#NNI??-----A---?	diachronní#AA???----??---?	synchronní#AA???----1?---?
krize#NNF??-----A---?	diakritický#AA???----??---?	kritika#NNF??-----A---?
spermie#NNF??-----A---?	diaspora#NNF??-----A---?	sperma#NNN??-----A---?
ekumena#NNF??-----A---?	diecéze#NNF??-----A---?	ekumenismus#NNI??-----A---?
indiference#NNF??-----A---?	diference#NNF??-----A---?	indiferentní#AA???----??---?
deficit#NNI??-----A---?	diference#NNF??-----A---?	referovat#V????--??-??I??
fúze#NNF??-----A---?	difúze#NNF??-----A---?	infúze#NNF??-----A---?
sugesce#NNF??-----A---?	digestoř#NNF??-----A---?	sugerovat#V????--??-??I??
diktovat#V????--??-??I??	dikce#NNF??-----A---?	diktát#NNI??-----A---?
abdikovat#V????--??-??I??	dikce#NNF??-----A---?	indikovat#V????--??-??B??
latrina#NNF??-----A---?	diluvium#NNN??-----A---?	latrína#NNF??-----A---?
chovat#V????--??-??I??	dimenze#NNF??-----A---?	měřit#V????--??-??I??
aplikovat#V????--??-??B??	diplom#NNI??-----A---?	duplikát#NNI??-----A---?
rezidence#NNF??-----A---?	disident#NNM??-----A---?	rezident#NNM??-----A---?
ansámbl#NNI??-----A---?	disimilace#NNF??-----A---?	asimilovat#V????--??-??B??
akcent#NNI??-----A---?	diskant#NNI??-----A---?	kantor#NNM??-----A---?
deviovat#V????--??-??I??	dýza#NNF??-----A---?	indukce#NNF??-----A---?
inkriminovat#V????--??-??B??	diskriminovat#V????--??-??B??	inkriminovaný#AA???----??---?
konkurz#NNI??-----A---?	diskurs#NNI??-----A---?	konkurs#NNI??-----A---?
kurz#NNI??-----A---?	diskurs#NNI??-----A---?	kurs#NNI??-----A---?
lokální#AA???----??---?	dislokovat#V????--??-??B??	lokál#NNI??-----A---?
asonance#NNF??-----A---?	disonance#NNF??-----A---?	rezonance#NNF??-----A---?
pára#NNF??-----A---?	disparátní#AA???----??---?	pár#NNI??-----A---?
diplom#NNI??-----A---?	displej#NNI??-----A---?	komplikovat#V????--??-??I??
computer#NNI??-----A---?	disputace#NNF??-----A---?	amputovat#V????--??-??B??
instantní#AA???----??---?	distance#NNF??-----A---?	instance#NNF??-----A---?
konstance#NNF??-----A---?	distance#NNF??-----A---?	konstantní#AA???----??---?
dělat#V????--??-??I??	dít#V???---??-??I??	dílo#NNN??-----A---?
dívat#V????--??-??I??	dít#V???---??-??I??	nadít#V????--??-??P??
spasit#V????--??-??P??	dít#V???---??-??I??	udát#V???---??-??P??
soudit#V????--??-??I??	dít#V???---??-??I??	soud#NNI??-----A---?
konvergovat#V????--??-??I??	divergence#NNF??-----A---?	konvergence#NNF??-----A---?
den#NNI??-----A---?	diář#NNI??-----A---?	dieta#NNF??-----A---?
tlesknout#V????--??-??P??	dlask#NNM??-----A---?	tleskat#V????--??-??I??
dmychat#V????--??-??I??	dmout#V????--??-??I??	dmýchat#V????--??-??I??
hodit#V????--??-??I??	doba#NNF??-----A---?	hod#NNI??-----A---?
podobat#V????--??-??I??	doba#NNF??-----A---?	podoba#NNF??-----A---?
docent#NNM??-----A---?	doktrína#NNF??-----A---?	doktor#NNM??-----A---?
noc#NNF??-----A---?	důl#NNI??-----A---?	záležet#V????--??-??I??
panel#NNI??-----A---?	domestikace#NNF??-----A---?	dům#NNI??-----A---?
Dominik#NNM??-----A---?	domestikace#NNF??-----A---?	dominovat#V????--??-??B??
domestikovat#V????--??-??I??	doména#NNF??-----A---?	dominovat#V????--??-??B??
doména#NNF??-----A---?	don#NNM??-----A---?	dáma#NNF??-----A---?
dotovat#V????--??-??B??	donace#NNF??-----A---?	dotace#NNF??-----A---?
posavad#Db-------------	dosud#Db-------------	dosavad#Db-------------
