# derivations that will be added to DeriNet based on Etym dict derivations list
# there is intermediate node between the derivation and the new parent its connected to
# in the etym dict there is a derivation between parent and intermediate node but intermediate node isnt root
# so insted of connecting this derivation to the parent we connect root of the intermediate node (derivation column)

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 341 probably correct new derivations, cca 75 % precision

derivation	parent	intermediate_node
pašije#NNF??-----A---?	pašije#NNFP?-----A---?	pašijový#AA???----??---?
perfektivum#NNN??-----A---?	perfektum#NNN??-----A---?	perfektivní#AA???----1?---?
petrolej#NNI??-----A---?	petrolej#NNF??-----A---?	petrolejový#AA???----??---?
*lampa#NNF??-----A---?	petrolej#NNF??-----A---?	petrolejka#NNF??-----A---?
pionýr#NNM??-----A---?	pionýr#NNI??-----A---?	pionýrský#AA???----??---?
*vlas#NNI??-----A---?	plavý#AA???----??---?	plavovlasý#AA???----??---?
pleso#NNN??-----A---?	plesat#V????--??-??I??	plesový#AA???----??---?
plevelit#V????--??-??I??	plevel#NNI??-----A---?	plevelný#AA???----??---?
zplíhat#V????--??-??I??	plihnout#V????--??-??I??	zplihnout#V????--??-??P??
plus#NNI??-----A---?	plus#Db-------------	plusový#AA???----??---?
polyethylen#NNI??-----A---?	polyetylen#NNI??-----A---?	polyetylenový#AA???----??---?
porfyrie#NNF??-----A---?	porfyr#NNI??-----A---?	porfyrický#AA???----??---?
@tvořit#V????--??-??I??	potvora#NNF??-----A---?	zpotvořit#V????--??-??P??
*mršit#V????--??-??I??	pozřít#V????--??-??P??	požírat#V????--??-??I??
*ruka#NNF??-----A---?	pošta#NNF??-----A---?	pošťák#NNM??-----A---?
*prchat#V????--??-??I??	pršet#V????--??-??I??	sprška#NNF??-----A---?
*hřib#NNI??-----A---?	pravý#AA???----??---?	pravák#NNM??-----A---?
praktikovat#V????--??-??I??	praktický#AA???----??---?	praktik#NNM??-----A---?
vyprahat#V????--??-??I??	prahnout#V????--??-??I??	vyprahlý#AA???----??---?
prestiž#NNF??-----A---?	prestiž#NNI??-----A---?	prestižní#AA???----??---?
reprezentance#NNF??-----A---?	reprezentovat#V????--??-??B??	reprezentativní#AA???----??---?
profylaktikum#NNN??-----A---?	profylaxe#NNF??-----A---?	profylaktický#AA???----??---?
prominence#NNF??-----A---?	prominent#NNM??-----A---?	prominentní#AA???----??---?
*mnout#V????--??-??I??	promoce#NNF??-----A---?	promovat#V????--??-??I??
*kopie#NNF??-----A---?	promítat#V????--??-??I??	promítačka#NNF??-----A---?
prostitut#NNM??-----A---?	prostituce#NNF??-----A---?	prostitutka#NNF??-----A---?
prostný#AA???----??---?	prostý#A????----??---?	prostná#NNNP?-----A----
