parent	grandparent	derivation
mnout#V????--??-??I??	promoce#NNF??-----A---?	promovat#V????--??-??I??
kopie#NNF??-----A---?	promítat#V????--??-??I??	promítačka#NNF??-----A---?
prostný#AA???----??---?	prostý#A????----??---?	prostná#NNNP?-----A----
proudit#V????--??-??I??	proud#NNI??-----A---?	proudění#NNN??-----?---?
maloměsto#NNN??-----A---?	provincie#NNF??-----A---?	maloměstský#AA???----??---?
provisorium#NNN??-----A---?	provizorní#AA???----??---?	provizorium#NNN??-----A---?
pramice#NNF??-----A---?	prám#NNI??-----A---?	pramička#NNF??-----A---?
publicistika#NNF??-----A---?	publikovat#V????--??-??B??	publicista#NNM??-----A---?
pumpnout#V????--??-??P??	pumpa#NNF??-----A---?	rozpumpovat#V????--??-??P??
poupě#NNN??-----A---?	pupen#NNI??-----A---?	poupátko#NNN??-----A---?
puta#NNF??-----A---?	putička#NNF??-----A---?	puťka#NNF??-----A----
spára#NNF??-----A---?	pár#NNI??-----A---?	spárovat#V????--??-??I??
pár#NNI??-----A---?	pára#NNF??-----A---?	parný#AA???----??---?
pást#V????--??-??I??	pás#NNI??-----A---?	opásat#V????--??-??P??
pojit#V????--??-??I??	pít#V????--??-??I??	nápojový#AA???----??---?
var#NNI??-----A---?	pivo#NNN??-----A---?	pivovar#NNI??-----A---?
pidimuž#NNM??-----A---?	píď#NNF??-----A---?	pidimužík#NNM??-----A---?
polára#NNF??-----A---?	pól#NNI??-----A---?	polarita#NNF??-----A---?
pól#NNI??-----A---?	pólo#NNN??-----A---?	pólista#NNM??-----A---?
zpívat#V????--??-??I??	pět#V????--??-??I??	zpěv#NNI??-----A---?
jít#V???---??-??I??	přát#V????--??-??I??	přející#AG???-----?---?
přást#NNI??-----A---?	příst#V????--??-??I??	zapřádat#V????--??-??I??
spor#NNI??-----A---?	přít#V????--??-??I??	sporný#A????----??---?
podpořit#V????--??-??P??	přít#V????--??-??I??	podpora#NNF??-----A---?
rafika#NNF??-----A---?	rafije#NNF??-----A---?	rafička#NNF??-----A---?
mést#V????--??-??I??	raketa#NNF??-----A---?	raketomet#NNI??-----A---?
plán#NNI??-----A---?	raketa#NNF??-----A---?	raketoplán#NNI??-----A---?
raráš#NNM??-----A---?	rarach#NNM??-----A---?	rarášek#NNM??-----A---?
recidivizmus#NNI??-----A---?	recidiva#NNF??-----A---?	recidivista#NNM??-----A---?
