Babjarová	Babjar
Babjuková	Babjuk
Babjáková	Babják
Babjárová	Babjár
Vrbanovová	Vrbanův, Vrban
Machanderová	Machander
Kořízková	Kořízek
Kořínková	Kořínek
Babováková	Babovák
Babrnáková	Babrnák, Babrňák
Babtistová	Babtista
Baboučková	Babouček
Babovcová	Babovec
Koďousková	Koďousek
Machaňová	Machaň
Tribusonová	Tribuson
Tribusová	Tribus
Štosková	Štosek
Štosová	Štos, Štós
Štoudková	Štoudek
Babuljaková	Babuljak
Babušíková	Babušík
Baburová	Bábura, Babúr
Macharáčková	Macharáček
Machanová	Machan, Machane
Machaníčková	Machaníček, Machančík
Machovcová	Machovec
Kočárková	Kočárek
Machková	Machek
Baběrádová	Baběrád
Babulová	Babula, Babule
Babuláková	Babulák
Babulíková	Babulík, Bubulík
Babůrková	Babůrek
Babulenková	Babulenko
Babíčková	Babíček
Baběráková	Baběrák
Vrbíčková	Vrbíček
Vrbovcová	Vrbovec
Babyrádová	Babyrád
Bacallová	Bacall
Baccagliniová	Baccaglini
Babáčková	Babáček
Bachmeierová	Bachmaier
Bachledová	Bachleda
Bachmaierová	Bachmaier, Bach, Bachmayer
Bacheletová	Bachelet
Machútová	Machát
Kočandrlová	Kočandrle
Machálková	Machálek
Machálová	Machala
Kozůbková	Kozůbek
Kozánková	Kozánek
Kozárková	Kozárek
Kozáčková	Kozák
Baconová	Bacon
Backlundová	Backlund
Bachůrková	Bachůrek
Bachůrová	Bachora
Bachňáková	Bachňák
Bachtíková	Bachtík
Bachurková	Bachurek, Bachura, Bachůrek
Štibrányová	Štibrány
Bachurová	Bachura, Bachora
Kozubková	Kozubek
Trenzová	Trenze
Backová	Backe, Bacca
Kozenková	Kosenko, Kosenka
Kozlíčková	Kozlík
Koziorková	Koziorek
Badaňová	Badaň
Badalcová	Badalec
Badaljanová	Badaljan
Badalíková	Badalík, Bakalík
Bacílková	Bacílek
Štepáneková	Štěpánek
Macourková	Macourek
Macošková	Macocha
Macánová	Macan, Machan
Kowinová	Kokin
Kovářiková	Kovařik, Kováčik
Kováčová	Kováč
Kovrzková	Kovrzek
Badáňová	Badaň
Badošková	Badošek
Baduová	Bauda, Bada
Trefancová	Trefanec
Baedekerová	Baedeker, Baedecker
Baehlerová	Beehler
Badžgoňová	Badžgoň
Kovaříčková	Kovaříček, Kováříček
Kovařicová	Kovačica
Vrdlovcová	Vrdlovec
Traversová	Travers, Traverso
Šteigrová	Šteiger
Kovalčílková	Kovalčík
Kovalyová	Koval
Baggerová	Bagger
Trbušková	Trbušek
Štefánková	Štefánek
Štefáčková	Štefáček
Kouřímová	Kouřim
Magnová	Magna
Koucourková	Koucourek
Kourková	Kourek
Kounková	Kounek
Šteflíčková	Šteflíček
Štefečková	Štefeček, Štefek
Bagnoldová	Bagnold
Bagnallová	Bagnall
Bahníčková	Bahníček
Bagshaweová	Bagshawe
Bagshotová	Bagshot
Trantírková	Trantírek
Štefaniková	Štefánik
Mahalová	Mahala, Mahal
Koukolíčková	Koukolíček, Koukolík
Kouhoutková	Kouhoutek
Koudelníčková	Koudelníček
Štambergová	Štemberg
Koubková	Koubek
Kotěšovcová	Kotěšovec
Koubíčková	Koubíček
Kotýnková	Kotýnek
Mahelová	Mahle, Mahler
Vrtková	Vrtek
Baisová	Baise
Baiblová	Bail
Kotásková	Kotásek
Tranděnková	Tranděnkov
Baizleová	Baizley
Bajanová	Bajan
Kottková	Kottek, Kott
Kotoučková	Kotouček
Kottnerová	Küttner
Vrzáčková	Vrzáček
Vrábková	Vrábek
Trailová	Train
Vrtílková	Vrtílek, Vrtělka
Kotoulková	Kotoulek, Kotulka
Kotrbáčková	Kotrbáček
Bajtková	Bajtek, Batko
Šrůtková	Šrůtek, Šrůta
Šrámková	Šrámek
Kotláriková	Kollárik
Maiolová	Maioli, Maio
Továrková	Továrek
Bajčíková	Bajčík
Šroubková	Šroubek
Šrolová	Šrol
Šroňková	Šroněk
Bakajsová	Bakajsa
Toušková	Toušek, Toucha
Toušlová	Tojšl
Šromotová	Šromota
Vrátníčková	Vrátníček
Vránková	Vránek, Vrána
Vrátilová	Vrátil
Kotlářová	Kotlář
Kothánková	Kothánek
Tourková	Tourek
Kosárková	Kosárek
Kosánková	Kosánek
Majnerová	Mainer
Totušková	Totušek
Baladová	Balaďa
Špringlerová	Špringer
Špreňarová	Špreňar
Balajová	Balaj
Kosďunová	Kosťun
Kosáčková	Kosáček
Kosínková	Kosík, Kosinka
Kosířová	Kosíř
Balakrishnanová	Balakrishnan
Vršíčková	Vršíček
Šplýchalová	Šplíchal
Majrychová	Majrich
Majíčková	Majíček
Kostěncová	Kostěnec
Kostílková	Kostík, Kostílek
Kostínková	Kostínek
Špičáková	Špičák
Špitová	Špit, Špita, Šmit
Špittová	Špitt
Balatová	Balatý, Balatá, Bala
Balcárková	Balcárek
Balcarková	Balcarka, Balcar
Kostrůnková	Kostrůnek
Makarová	Makar, Makara
Tornová	Tor
Baldrianová	Baldrian
Balejíková	Balejík
Kostincová	Kostinec
Balgová	Balga
Balhárková	Balhárek
Makiová	Maxi
Kostelencová	Kostelec
Balesová	Bales
Balfourová	Balfour
Balentová	Balent
Balintová	Balint
Makovcová	Makovec
Balkinová	Balkin
Topolovová	Topol
Topoľová	Topor
Koskádová	Kosák
Tooleová	Toole
Ballková	Ballko, Ballok, Balla, Ball
Balleková	Ballek, Bally, Ballko, Ball
Tomšicová	Tomšic
Špetlová	Špetl
Balnohová	Balnoha
Balochová	Baloch
Balmerová	Balmer
Špetláková	Špetlák
Šperňáková	Šperňák
Balonová	Balonka
Špicová	Špic
Balláková	Ballák
Balnerová	Balner
Malcová	Malec
Baloušková	Baloušek
Balová	Bala, Bali, Bale
Tomšíčková	Tomšíček
Malchárková	Malchárek
Korábková	Korábek, Korák
Koráčková	Koráček
Korýtková	Korytko
Koryčánková	Koryčánek, Korýčánek
Špaňůrová	Špaňár
Špecingrová	Špecinger
Baltsanová	Baltsan
Tomrdlová	Tomrdle
Balázsová	Balász, Balázs, Balasz
Tománková	Tománek
Tomíčková	Tomíček, Tomčík
Baláčková	Baláček
Malejeová	Malejev
Korytová	Koryta, Koryto
Balůšková	Balůšek
Špačková	Špak, Špaček
Španerová	Španner
Balčiráková	Balčirák
Špalková	Špalek
Tomíšková	Tomíšek, Tomášek, Tomáško
Balůsková	Balůsek
Malečková	Maleček
Kortánková	Kortánek
Korvašová	Korvas
Bambuškarová	Bambuškar
Balýová	Balý
Bambousková	Bambousek
Tomlinová	Tolmin
Korpiová	Korpa
Tomečková	Tomeček
Tomcová	Tomec
Bambušková	Bambušek
Bambásková	Bambásek
Korobkovová	Korobko
Šourková	Šourek
Tomancová	Tomanec
Šoustková	Šoustek
Šoutová	Šoun
Šoufková	Šoufek
Bandaová	Banda, Bandai, Bandar
Vycpálková	Vycpálek
Vyhnánková	Vyhnánek
Bandiová	Bandi, Bandia
Vyhnálková	Vyhnálek
Šotková	Šotek
Šostková	Šostek
Banegasová	Bengas
Banfieldová	Banfield, Benfield
Banerdžíová	Banerdži, Banerdží
Malochová	Maloch
Malovcová	Malovec
Maloneyová	Maloney
