oblomovština	oblomovský, Oblomovský
duhovkovitý	duhovka, duha
tarbíkovitý	tarbík, tarbíček
živičnatý	živice, živý, živě, živina
žilkovatý	žilka, Žilka, žilkový
žihadlovitý	žihadlo, žíhadlo, žáhadlo
ráčkovitý	ráček, rámek
drsňáček	drsňák, drňák
obepsat	psát, pes, pec
dršťkář	dršťka, drštkárna
družstevnicví	družstevník, družstevnický, družstevní, družstevnice
drobánko	drobný, drobák, drobek, drobánek
sžavší	sžít, sežnout
najednou	jednou, jed
zobloučit	oblouk, hloučit
zohebnit	ohebný, zohýbat
změtení	změtený, zmást
světluščí	světluška, světlý, světle
světlíček	světlík, Světlík
zmámenec	zmámený, zmáčený, zmálený
doupnatý	doupný, dopnout
rozčilení	rozčilit, rozčílit
zmléčnět	mléčný, mlíčný
sazebníček	sazebník, sazba
hadříkovitý	hadřík, hadříček
zpasivnět	zpasivnit, pasivní
zplavět	plavý, plavit, zplavit, plavat, splavit
obechcat	chcát, ochcat
rozpřažení	rozpřah, rozpřáhnout, rozpažit, rozpražit
rozsedění	rozsedět, osedět, sedět
zlítostnět	lítostný, lítostnit, zlítostnit
rozladění	rozladit, ladění
zlyričtět	lyrický, zlyričtit
sumečkovitý	sumec, sumeček
rozevřít	vřít, otevřít
řiditelstvo	ředitelský, ředitel, řiditel, řiditelský, ředitelný, ředitelství
protišlapat	šlapat, tlapat
trávníkář	trávník, Trávník, travný
pečicí	péct, péci, počít, páčit
protransformační	transformační, transformace
ředitelstvo	ředitelský, ředitel, ředitelný
hlídkař	hlídka, hlízka
zkyselet	zkyselit, Kysel, kyselit
zprzněnina	zprzněný, przněný, zprznění
proužeček	proužek, proužka, pruh
rosničkovitý	rosnička, rosnický
střižený	střihat, střihaný, střihaně, střihnout
prozkloktat	kloktat, prokloktat
luninovec	Lunin, Luninův
prádelníček	prádelník, prádlo, prádelna
zimničnatý	zimnice, zimniční
zpříčinit	příčina, příčný, Příčina, příčit
zhojnět	hojný, zhojný, hojit
zrcadlovitý	zrcadlo, zrcadlit, zrcadlový
zrostlina	zrostlý, zrůst, srostlý
psaníčkovitý	psaníčko, psaníčkový
zezákonit	zákonný, zákon
zezřejmit	zřejmý, zřejmo
partičkařit	partičkář, partička
zruměnět	ruměný, ruměnit
houfeček	houfek, houfec, Houfek, houf
zestříbřet	stříbřit, ostříbřit
ztajemnět	tajemný, tajný
nadvýšit	výsek, vysoký
giboně	giboní, gibbon
puclíček	puclík, culík
lasiččí	lasička, lasice
pyromanství	pyromanský, pyroman, pyromanie
detektorářství	detektorářský, detektorář
zeleňoučce	zelený, zeleňoučký
odměďovač	odměňovat, odměřovat
zeleninný	zelenina, zelený
odlévárna	odlévat, vál, vát
odlistit	list, listí, List
nadsladovní	sladovní, sladovna
nadsladovní	sladovní, sladovna
dvojnosý	dvojný, dvojně
španělsku	španělský, Španělsko
panákovitý	panák, Panák, paňák
špičkář	špička, Špička
zchvácet	zchvátit, zachvátit
hulváctví	hulvácký, hulvát, hulvátský
hubkovitý	hubka, Hubka, houba
zchladat	chladnout, chladit, zachladit
špendlíčkovitý	špendlíček, Špendlíček
zbrzděný	zbrzdit, brzdit
pamětníček	pamětník, Pamětník
pobořeniště	pobořit, poboření
zvoneček	zvonek, zvonec, Zvonek
zbolavit	bolavý, bolavět
zbezmocnit	bezmocný, bezmoc
nastoupit	stoupit, stoupat, stoupa
nasupit	sup, supět
odsejpat	sípat, sypat, sát, sápat, snít
zavěrací	zavírat, zavětrat
zavržení	zavrhnout, vržení
ucviknout	kviknout, ucvikat
ubreptnout	brebtnout, breptat, brebtat, breptnout
nadproud	proud, proudit, proudný
nadnárod	národ, národní, narodit
podehrát	hrát, hřát, hnát, drát, žrát
zádušnice	zádušník, záduš
zauzlovatit	uzlovat, uzlovatý, zauzlovat, uzlovatět
zaučenec	zaučený, zaučit, učenec, naučený
zavadat	vadnout, dadat, dávat, dát, vést, zavadnout
naumazat	mazat, umazat, mazávat
odtržený	odtrhnout, odtrhat
cvrnkaliště	crnkat, cvrnkat
školkařit	školkař, školkařský, školkovat, folkař, školka
zastýsknout	stýsknout, stesk, třesknout, stisknout
odvratitel	odvrátit, odevrátit
zastoupit	stoupit, ustoupit
zatesklit	teskný, tesknit
zatichat	zatichnout, zatnout
zatržení	zatrhnout, zatrhat
zatmavit	tmavý, tmavo
záhumenice	záhumení, humno
odželezit	železný, železa, železo
chvalitel	chválit, schválit, valit
chuděrka	chudera, chuděra, chudák
chtějící	chtít, štět
upravenec	upravený, upravit, upravení
chudičce	chudičký, chudý
uranitý	uran, Uran, raný, rána
ohybatel	ohýbat, obíhat
zákrutí	zákrut, zakroutit
Hrabá	Hraba, Hrabě, Harba, Hrab
utišovač	utišovat, utichovat
uschránit	chránit, schrána, schránět
zapěrač	zapírat, zapřít
zaplotit	plot, plotní
zapjavší	zapnout, zapít, zapsat
uzlovač	uzlovat, uhlovat, uzlívat
učednictvo	učednický, učedník, učednice
uzřejmit	zřejmý, zřejmo, zřejmě
chlornatý	chlór, chlor
použivatel	používat, užívat
kukaňovitý	kukaň, kukaňka
podklesat	klesat, podklesnout, klesnout
uživotnit	životný, životní
zamrzlina	zamrzlý, namrzlý
zápisnice	zápisník, zápis, zápisný, zápisna
opaxit	opakní, opakovat
sprostředkovatel	sprostředkovat, prostředkovat, zprostředkovat
podhrudník	hrudník, hrudný, hrudka, hrudí, hruď
zamšený	zamísit, zamlít
zanelíbit	líbit, libý
vajíčkovník	vajíčko, vajíčkový
microprocessor	processor, procesor, proces
podkritičný	kritička, podkritický
zakyslík	zakyslý, kyslík
zalykat	tykat, kalit, lákat
zalezavý	zalézt, zalézat, lezavý
zamhlít	mlha, mlít
zakvetnout	zakvetat, zakvétat, zakvětat, zakvikat
firnoviště	firn, firma
nadhodit	hodit, dojit, nahodit
zakráknout	krákat, zakrákat
opracovač	opracovat, pracovat, pracovávat, upracovat
veršovství	verš, veršovný, veršový, veršovec
večerníček	večerník, Večerník, černík
zakolit	kolo, kokle, kokolit, kalit, kola
zakletec	zaklít, zakletý, zakletí
součastnost	současný, účastnost
zahálečný	hálka, zahálka
souměřit	uměřit, měřit
postřiknout	stříknout, postříkat, stříhnout
orezavělý	rezavět, rezavý
vnešený	vnést, snést
brčkovitý	brk, brkový
četníček	četník, účetník
zahradovitý	zahrada, zahradit, záhrada, Zahrada
zahořan	zahořet, zahoření, zahořený
padesátimiliónletka	padesátimilionletka, padesátimilionový
zahlodnout	zahladit, zahladnout
vodehrát	hrát, hřát, hnát, vehrát, ohrát, odehrát
zahlušit	hluchý, hluch, hluk
zahaněč	zahánět, hanět
čertování	čert, čerchovat
zadávenec	zadávený, zadávit, zadávení
pododstavec	odstavec, odstavovat
osamotnět	samotný, samota
vovlivnit	ovlivnit, vliv
voyeurství	voyeurský, voyeur
voživení	obživit, oživit
osemenit	semeno, semenný, sem
zadluženec	zadlužený, zadlužit, dlužený
vpůli	vpálit, půlit
bochánkovitý	bochánek, bochánkový
vpřadený	příst, vpřádat, vpřáhat, přást
vrtulárna	vrtulka, vrtule
zacápat	capat, chápat, cupat
zachvácet	zachvátit, zachovat
zacigánit	cigánit, cigán
Jasná	Jasný, Jasa, jasný
přebalovna	přebalovat, přebal, přebalovaný
zabulat	bulet, bělat
vyblízat	vyblíznout, vyblednout
závětce	závěť, zavítat
Hamzá	Hamza, Hamsa
závrativý	závrat, závrať
posprostu	sprostý, sprostit
záštipec	zaštipovat, zaštípat, zaštípit, zaštípnout
nebezpečno	bezpečno, bezpečný
bezproudý	proud, proudný
vydřevnit	dřevní, dřevný, řevnit, vřed
záškodničit	záškodnice, záškodník
posešít	sít, sešít, šít, setí
korálkář	korálek, korál, korálky
korkovitý	korek, korkový, vorek
kopečkovitý	kopeček, kopec, Kopeček, copeček
zútulnět	útulný, útulnit, útulna
zúzkostnět	úzkostný, úzkost
předlétnout	předletět, létat, slétnout
předmagistrátní	magistrátní, magistrát
vykláněčka	vyklánění, vykláněný
přistoupit	stoupit, stoupa
komárovitý	komár, Komár
bařtipánovatět	bařtipán, Bařtipán
podprostřední	prostřední, prostřed
vylejzat	vylézt, vylízat, vylíznout, vlézt, vylézat, lízat
vylisovánka	vylizování, vylisování, vylizovaný
kolébkář	kolébka, kolébat
popíračství	popíračský, popírač
batůžkařit	batůžkář, batůžek
baňkař	baňka, banka, Baňka
vymokat	vymočit, mykat
předobraz	obraz, podraz
předpažbí	pažba, paže, páže
vynešení	vynést, vnést
všivavý	všívat, všivit
dvoudílný	dvojdílný, dvoudíl
klokanovitý	klokan, klokanka
vypřadený	vypříst, vypřádat, vpřádat, vypřáhat
přikládat	kládat, vládat
vyrotit	rota, rosit
dvoulistý	dvojlistý, dvoulist, dvojlist
vyslíknout	slíknout, slíkat
vysmívač	vysmívat, smívat
vysouknout	kouknout, vysoukat, fouknout, houknout
vysouvnout	vysouvat, couvnout
dvouměsíční	dvouměsíc, dvojměsíční
předregulační	regulace, regulační
předpřízvučný	přízvučný, přízvuk
mělnické	Mělník, Mělnice
dvouplošníček	dvouplošník, dvojplošník
vyvazení	vyvadit, vyvádět, vyvázat, vyvodit, vyvozit, vyváznout
předslitina	slitina, slitý
předskokanství	předskokanský, skokanský
úpončí	úponek, úponka, úpona, úpon
džbánkař	džbánek, džbán
vyvýšit	vysoký, vyšít
vyvěnit	věřit, věčný, věk, vát
mrtvičnatý	mrtvice, mrtvičný, mrtvička
vyvražďovačka	vyvražďovat, vyvražďovací
přežblept	žblept, žbleptat
vyvodění	vyvodit, vodit, vojvodit
vyšedit	šedý, šeď, šedo, vyšednout
vyvánět	vyvést, vynést
přeškicnout	škicnout, skicnout
převoditel	převést, převádět, převézt
vzpřahat	vzpřáhnout, spřahat, vepřáhnout
předtřídní	třída, třídní
měděnkavý	měděnka, mědný, měděný
podřezávka	podřezávat, podřezávač
ostřižení	ostřihnout, ostříhat, ostřihovat
předzaložený	založený, založit
míšený	mísit, mínit, říci
víceranný	vícero, vícerý
osnovavatel	osnovávat, snovávat, snovat, snovatel
osopit	spát, spéci
výžlátko	výžle, vyžle
výzvědy	vyzvídat, vyzvědět, výzvěda
věchýtkovitý	věchýtek, věchýtka
výkladné	výkladna, výklad, vykládat, výkladní, výkladný
vývažek	vyvážet, vyvažovat, vyvážit
výplaz	vyplazit, vypláznout, plazit
vývodící	vojvodit, vojevodit, vévodit, vodit
vývoděný	vojvodit, vyvodit, vévodit, vojevodit
přenešený	přenést, přenesený, přenesenost
jednokolkař	jednokolka, jednokolkář
přepravenka	přepravit, přepravení, přepravený, přepravovat
výtlačky	výtlak, vytlačit, vtlačit
obroubit	roubit, obruba, troubit, zroubit
osmáhnout	smahnout, zmáhnout
výprosce	vyprosit, výpros, vyprostit
pokoupání	koupaný, koupání, koupat, pokopávat
pokérovanec	pokérovaný, pokérovat
přejmutý	přejmout, jmout, přemnout, mnout, mýt
východňárčina	východňárka, východňárský
měděnice	měděný, měď
vředovina	vředový, vřed
jesencovitý	jesenec, jesen
předvěstník	předvěstní, věstník, věstný
předčítač	předčítat, čítač, čítat, číst
válečkář	válečník, váleček
předstřih	střih, střihnout, střihat
jílovatý	jíl, míle
kachlíčkárna	kachlíček, kachlička, kachlák, kachlík
vzkřikat	kořit, vzkřiknout
přeúžasný	úžasný, úžas
podíleček	podílek, podíl, úleček
jalovcoví	jalovec, jalovcový, Jalovec
předstoupit	stoupit, stupit
vyšpláchnout	šplouchnout, šplouchat, spláchnout
kapelničit	kapelník, kapelnice, kapelní, kapela
vyřadění	vyřadit, vyřádit, vyřídit
podvrkat	vrkat, hrkat, drkat, mrkat, krkat
přiběhnout	přibíhat, sběhnout, číhnout
přibírka	přibírat, přibrat
vyvažiště	vyvážit, vyvážet, vyvadit
vytáhnutý	vytáhnout, vtáhnout
podtištěný	tištěný, ta
předrehabilitační	rehabilitační, habilitační, rehabilitace
dvoulístek	dvojlist, dvojlístek, dvoulist
přijatel	přijmout, přijatý
necitelník	citelný, cítit
předpoklad	poklad, podklad, předpokládat, pokládat, překládat
přihlašovna	přihlašovat, přihlašovací
předpisný	předepsat, předpis, odpis
popichovač	popichovat, opichovat
dvoufunkční	dvojfunkce, dvojfunkční
pacholíček	pacholík, pacholek
pacholíček	pacholík, pacholek
sepjavší	sepnout, sypat
přinešený	přinést, přinesený
bavorština	bavorský, varský
Modrá	Modrý, modrý
vykvíst	kvíst, kvést
siličnatý	silič, silice, siličný, sílič
vykvetlice	vykvetlý, vykvést
předlažba	dlažba, předláždit, přeladit
vyjídač	vyjídat, vyvíjet
vyhladnout	vyhladit, hlad
sklínkař	sklínka, sklínit
kostkovitý	kostka, Kostka
koutníček	Koutník, kout
závěrečná	závěrečný, závěrka, závěr, várečný
vychrknout	vychrkat, krknout, hrknout
vyblednout	vybledat, blednout
vyblíznout	líznout, slíznout
podpořit	spořit, kořit
vybídnout	vybízet, vybízený
zachechtnout	chechtat, zachechtat
nazpět	zpět, pět, spět, pít
vpřadení	příst, přidat, přást
vsákat	kázat, cákat
vrakovitý	vrak, rak, rakovitý
vrabečkář	vrabeček, vrabčí
vpouštěcí	vpouštět, pouštět, opouštět, opustit
zadobře	dobře, dobrý
závazeček	závazek, závaz
černohorština	černohorský, Černohorský
přiteplit	teplý, Teplý
broukovitý	brouk, Brouk
vodpovolit	povolit, volit
zahlednout	zahledat, zahledět, zahledávat
vobejváček	obejváček, obejvák
navymejšlet	vymejšlet, vymýšlet
vlahoučce	vlahoučký, vlahý
zásobnicovitý	zásobnice, zásobník, zásobna
spadený	spadnout, spást, spadat, padnout
zaklecat	klekat, zaklekat, klec, zakleknout
opuchat	cuchat, opuchnout, juchat, kuchat
potrsání	potrvat, trsávat
opovržení	opovrhnout, povržení
kruháček	kruháč, kruhák
běsivý	věsit, zbít
králčin	králka, Králka
navežení	navézt, navést
vazeniště	vázat, vaz, vazný
zalistit	list, lista, listí
podjímat	jímat, jmout, dnít
spracování	zpracovat, pracovat, pracování
spřadení	spříst, předat, spřádat, přadeno, příst
spřadený	spříst, spřádat, předat, příst, přást
zapařenina	zapařený, zapaření, zapařeně
chloritý	chlór, chlor
uvykat	vykat, uvyknout, mykat, tykat
uňafaný	ňafaný, ňafat
podetapa	tapa, etapa, Tapa
zapálenec	zapálený, zapylený, zapálit
chmelařit	chmelař, chmel
záletničit	záletník, záletnice
zasahat	sahat, zasáhat
zasazit	sadit, zasadit, savý
upřádat	přást, upříst, příst
odžatý	odžít, žít, odehnout
umučenka	umučení, umučený, umučenec, um, umučit, mučenka
zastřiknout	stříknout, křiknout, stříhnout, zastříkat
zasáhat	zasahat, zasáhnout
stižený	stihnout, stihat
záhladný	hlad, hladit
zatáhat	zatahat, zatočit, zatanout
sebeorganizace	sebeorganizovat, organizace
prakiádník	prakiáda, prak
podběráček	podběrák, buráček, burák
zauhlit	uhlí, uhel
kvítíčko	kvítko, kvítí, kvítečko
zavláhnout	zavlahnout, zavlhat, vlhnout
odpočitadlo	odpočítat, počitadlo, dopočítat, počítat
zvěcnit	věcný, věc, více
případíček	případ, případek
zašelestět	šelestit, zašelestit
čtyřicítkař	čtyřicítka, čtyřicetina
šlechtičin	šlechtička, šlechtický, šlechticky
zašupět	supět, šupat, uspět, šupnout
zbabčit	babka, baba, babča
zbídnit	bídný, bednit
zbranný	zbránit, zbraň, brána
křídlovitý	křídlo, Křídlo
hubkař	hubka, houba
špalíčkář	špalíček, špalík
odporovatelna	odporovatel, odporovat
hruškař	hruška, Hruška
nadstát	stát, tát, dát, ztát, smát
nadstavbička	nadstavba, stavbička
zuhelnit	uhelný, úhelný
odkvíst	kvíst, kvést
píďalčí	píďalka, píďalkovat
štvanectví	štvanecký, štvanec
plevelnatý	plevelit, plevel, plevelný
štětcovitý	štětec, štět, štětka
zefýreček	zefírek, zefýr, zefír
odmítat	odmetat, metat, odmést
ztržení	ztrhnout, ztržený
lakotěný	lakotit, lakotný
pétainovec	Pétain, pétainovský
pájitelný	pájet, pádit
odmrsk	mrsknout, mrskat
zesilnit	silný, slina, slinit, slinný
prohlédnout	prohlédat, hlédnout, prohlížet, shlédnout
nasevší	nasít, nastát, nasát, našít, ves
ztovárnit	tovární, továrna, tvárný, tvárnit
zteplit	teplý, Teplý
zesličnět	sličný, slíčný
gepardě	gepard, gepardí
nadtělesný	tělesný, těleso
hořcovitý	hořec, hořce
zextensivnět	extenzivní, extensivní
zextensivnit	extenzivní, extensivní
zešumělý	zašumět, šumět, všumět
ďobáníčko	ďobání, zobání
zrnítko	zrno, zrnit, zrní
ťopkovitý	ťopka, topka, kopka
zhatěný	zhatit, zhanět
zpříkřit	příkře, příkrý
zhudebnět	hudební, hudba
stánkařit	stánkař, stánek
odklidiště	odklid, odklidit, klidit, odkládat
zintensivnit	intenzivní, intensivní, zintenzivnit
lučinatý	lučina, luční, luka, Lučina, luk
zkladnit	kladný, skladný, vkladný
dvojhláska	dvojhlas, dvojhlasý
typografička	typografický, typografie, typograf
zkonkrétnět	konkrétní, konkretní
pečitel	péci, péct, počít, čít, počet
zkřivnout	zkřivit, zkřivět
řemenovitý	řemen, řemení
zlatnatý	zlato, zlatný, zlatý, zlatit
hliníkář	hliník, hliníkový
lístečkovitý	lístek, lísteček
zpravodajština	zpravodajský, zpravodaj
zlatnatý	zlato, zlatný, zlatý, zlatit
odejmuvší	odejmout, odmýt, odnít
zlatníček	zlatník, Zlatník, zlatný
zpodlit	podlý, podlít, podle
zpohádkovět	pohádkový, pohádka
rozkvíst	kvíst, kvést, rozkvést, čest, číst
zpohotovit	pohotový, hotovit
odbíhat	běhat, odběhnout, odehnout
odběratelstvo	odběratel, odběratelský
melounkovitý	melounek, Melounek
dopřádat	přást, příst, přát
zmarnět	marný, měrný, marnit
zpitvornět	pitvorný, zpitvořit, pitvořit, tvorný
svolavatelna	svolavatel, svolávat, svolovat
sběrač	sbírat, sžírat
rozžít	žít, žet, lít, hřát
sťavší	stát, setnout
značkovitý	značka, značkový, znak
najezdění	najezdit, jezdit, zajezdit
znečištěnina	znečistěný, znečistění, znečistit
znevolnit	nevolný, zvolný, volnit, zvolnit, volný
žaludkář	žaloudek, žalud
žirardáček	žirarďák, girarďák
žahadlovitý	žahadlo, žáhadlo, žihadlo
žabičkář	žabička, žabka
rámkovaný	rámek, rámcovat
