\	jazykovka–NC	jazyk–N						
\	jedový–A	jedovatý–A						
	jed–N	jedovatý–A						
\	vrchol–N	vrchovatý–A						
	vrch–N	vrchovatý–A						
\	morous–N	mourovatý–A						
\	mourek–N	mourovatý–A						
	mour–N	mourovatý–A						
\	kov–N	kovárna–N						
\	kovář–N	kovárna–N						
\	kování–N	kovárna–N						
	kovat–V	kovárna–N						
\	slévač–N	slévárna–N						
\	slít–V	slévárna–N						
\	slitina–N	slévárna–N						
	zastavit–V	zastavárna–N						
\	zastavení–N	zastavárna–N						
	Morava–N	Moravan–N						
\	moravský–A	Moravan–N						
	Morava–N	Moravan–N						
\	ostravský–A	Ostravan–N						
	Ostrava–N	Ostravan–N						
	Ostrava–N	Ostravan–N						
\	vozit–V	provoz–N						
\	vézt–V	provoz–N						
\	provézt–V	provoz–N						
\	vézt–V	dovoz–N						
	dovézt–V	dovoz–N						
	majetek–N	majetný–A						
\	majitel–N	majetný–A						
\	majitelka–N	majetný–A						
\	přičíst–V	příčetný–A						
	přičítat–V	příčetný–A						
	nájem–N	nájemník–N						
\	nájemné–N	nájemník–N						
\	nájemný–A	nájemník–N						
\	zaznamenat–V	záznamník–N						
	záznam–N	záznamník–N						
\	sběh–N	běh–N						
\	běžný–A	běh–N						
\	zběh–N	běh–N						
	běhat–V	běh–N						
\	běžkyně–N	běh–N						
\	běžec–N	běh–N						
\	běžet–V	běh–N						
\	rozběh–N	běh–N						
	proběhnout–V	průběh–N						
\	probíhat–V	průběh–N						
\	běhat–V	průběh–N						
\	běžet–V	průběh–N						
\	běh–N	průběh–N						
\	běžet–V	náběh–N						
\	nabíhat–V	náběh–N						
\	běhat–V	náběh–N						
\	běh–N	náběh–N						
\	běh–N	výběh–N						
\	vyběhat–V	výběh–N						
\	běžet–V	výběh–N						
\	běhat–V	výběh–N						
\	běh–N	souběh–N						
\	souběžný–A	souběh–N						
\	sbíhat–V	sběh–N						
\	běh–N	sběh–N						
\	běhat–V	sběh–N						
\	běh–N	příběh–N						
\	běhat–V	příběh–N						
\	běžet–V	příběh–N						
\	přibíhat–V	příběh–N						
	Kladno–N	Kladeňák–N						
	Kladno–N	Kladeňák–N						
	Vídeň–N	Vídeňák–N						
	Vídeň–N	Vídeňák–N						
\	vát–V	van–N						
	vanout–V	van–N						
\	van–N	průvan–N						
\	vát–V	průvan–N						
	Moskva–N	Moskvan–N						
	Moskva–N	Moskvan–N						
\	van–N	závan–N						
\	vanout–V	závan–N						
\	Polka–N	Polák–N						
	Polsko–N	Polák–N						
\	polský–A	Polák–N						
	škola–N	záškolák–N						
\	školák–N	záškolák–N						
	zemní–A	pozemní–A						
\	pozemek–N	pozemní–A						
\	mezitím–DC	prozatímní–A						
\	zatím–D	prozatímní–A						
\	prozatím–D	prozatímní–A						
\	zatímní–A	prozatímní–A						
\	zatím–D	prozatímní–A						
\	prozatím–D	prozatímní–A						
\	třetihory–N	čtvrtohory–N						
\	druhohory–N	čtvrtohory–N						
\	prvohory–N	čtvrtohory–N						
	odbor–N	odbory–N						
\	odborový–A	odbory–N						
\	odborník–N	odbory–N						
\	orel–N	orlosup–N						
\	sup–N	orlosup–N						
	chroupat–V	chrup–N						
\	chrupka–N	chrup–N						
\	vlásenka–N	vlasatý–A						
	vlas–N	vlasatý–A						
	prs–N	prsatý–A						
\	prsa–N	prsatý–A						
	právník–N	právnička–N						
\	právo–N	právnička–N						
\	prvý–A	prvnička–N						
	první–A	prvnička–N						
\	jachta–N	jachtink–N						
\	jachtařka–N	jachtink–N						
\	cinkat–V	cink–N						
	cinknout–V	cink–N						
\	rozhovor–N	hovořit–V						
	hovor–N	hovořit–V						
\	tvůrkyně–N	tvořit–V						
\	spolutvůrkyně–N	tvořit–V						
\	tvar–N	tvořit–V						
\	magnetosféra–NC	sféra–N						
