	Maxim–N	Maximovič–N						
	adheze–N	adhezívní–A						
	žíhat–V	zažíhat–V						
	jádro–N	jaderniště–N						
	pohybovat–V	pohyblivý–A						
	rovnice–N	nerovnice–N						
	skupina–N	podskupina–N						
	patriarcha–NC	patriarchální–A						
	konzervatoř–N	konzervatorista–N						
	půst–N	postit–V						
	směr–N	usměrnit–V						
	odložit–V	odkládat–V						
	újezd–N	Újezd–N						
	přiložit–V	příloha–N						
	zanítit–V	zánět–N						
	draslík–N	draselný–A						
	skripta–N	skriptorium–N						
	produkce–N	koprodukce–N						
	důvod–N	zdůvodnit–V						
	spíž–N	spižírna–N						
	budoucí–A	budoucně–D						
	příčit–V	příčel–N						
	profesionální–A	profesionalizmus–N						
	solární–A	solárium–N						
	reálný–A	realizmus–N						
	zahradník–N	Zahradník–N						
	kondice–N	kondicionovat–V						
	popel–N	popelín–N						
	vysokánský–A	vysokanánský–A						
	stlát–V	ustlat–V						
	Jaroslav–N	Jára–N						
	Julie–N	Juliana–N						
	zdejší–A	vezdejší–A						
	rozpaky–N	rozpačitý–A						
	loubí–N	podloubí–N						
	anestezie–N	anestetikum–N						
	patriarcha–NC	patriarchát–N						
	účet–N	podúčet–N						
	Věra–N	Věruška–N						
	vlákno–N	vlákénko–N						
	hodina–N	hoďka–N						
	planeta–N	planetoid–N						
	bradavice–N	bradavičnatý–A						
	krátký–A	kraťasy–N						
	pohár–N	Pohár–N						
	paže–N	připažit–V						
	Houston–N	houstonský–A						
	brzy–D	brzičko–D						
	prát–V	prádelna–N						
	polo–D	napolo–D						
	Schwarzenberg–N	schwarzenberský–A						
	kmen–N	soukmenovec–N						
	teplý–A	oteplit–V						
	stlát–V	rozestlat–V						
	kuřák–N	nekuřák–N						
	graf–N	podgraf–N						
	Žilina–N	žilinský–A						
	krájet–V	krajíc–N						
	pravit–V	rozprávět–V						
	štvát–V	poštvat–V						
	bít–V	bicí–N						
	most–N	předmostí–N						
	hlava–N	podhlavník–N						
	Nantes–N	nanteský–A						
	auto–N	auťák–N						
	stlát–V	vystlat–V						
	klíč–N	paklíč–N						
	křeček–N	Křeček–N						
	gang–N	gangster–N						
	baron–N	baronet–N						
	tlustý–A	tloušťka–N						
	dítě–N	bezdětný–A						
	lehký–A	zlehčit–V						
	žába–N	žabisko–N						
\	virus–N	zavirovat–V		vir				
	pět–V	pětka–N						
	blázen–N	bláznoství–N						
	cizí–A	zcizit–V						
