novy par: Auterský --> Auterská	 pravidlo: N-ý --> N-á
novy par: autíčkář --> autíčkářský	 pravidlo: N- --> A-ský
novy par: autista --> autismus	 pravidlo: N-ta --> N-mus
novy par: autodestrukce --> autodestrukční	 pravidlo: N-ce --> A-ční
novy par: autoelektrikář --> autoelektrikářský	 pravidlo: N- --> A-ský
novy par: autokarosář --> autokarosářský	 pravidlo: N- --> A-ský
novy par: automatika --> automatický	 pravidlo: N-ka --> A-cký
novy par: automobilista --> automobilismus	 pravidlo: N-ta --> N-mus
novy par: aut --> auto	 pravidlo: N- --> N-o
novy par: autoopravář --> autoopravářský	 pravidlo: N- --> A-ský
novy par: Autotec --> Autotech	 pravidlo: N- --> N-h
novy par: autun --> autunit	 pravidlo: N- --> N-it
novy par: Avad --> Avadh	 pravidlo: N- --> N-h
novy par: avanturista --> avanturismus	 pravidlo: N-ta --> N-mus
novy par: Avar --> Avary	 pravidlo: N- --> N-y
novy par: Avi --> Avion	 pravidlo: N- --> N-on
novy par: Ayn --> Ayr	 pravidlo: N-n --> N-r
novy par: Aza --> Azer	 pravidlo: N-a --> N-er
novy par: Azor --> Azory	 pravidlo: N- --> N-y
novy par: azur --> azuro	 pravidlo: N- --> N-o
novy par: Babacan --> Babacar	 pravidlo: N-n --> N-r
novy par: Baban --> Babar	 pravidlo: N-n --> N-r
novy par: Babb --> Babbová	 pravidlo: N- --> N-ová
novy par: Babbo --> Babbová	 pravidlo: N- --> N-vá
novy par: Babb --> Babbo	 pravidlo: N- --> N-o
novy par: Bab --> Babec	 pravidlo: N- --> N-ec
novy par: Babej --> Babejová	 pravidlo: N- --> N-ová
novy par: Babenko --> Babenková	 pravidlo: N- --> N-vá
novy par: Baběrád --> Baběrádová	 pravidlo: N- --> N-ová
novy par: Baběrák --> Baběráková	 pravidlo: N- --> N-ová
novy par: Babiak --> Babiaková	 pravidlo: N- --> N-ová
novy par: Bábík --> Bábíček	 pravidlo: N-k --> N-ček
novy par: Babidorič --> Babidoričová	 pravidlo: N- --> N-ová
novy par: Bábík --> Bábíková	 pravidlo: N- --> N-ová
novy par: Babina --> Babinová	 pravidlo: N-a --> N-ová
novy par: Bab --> Babit	 pravidlo: N- --> N-it
novy par: Babitz --> Babitzová	 pravidlo: N- --> N-ová
novy par: Babiuk --> Babiuková	 pravidlo: N- --> N-ová
novy par: Babják --> Babjáková	 pravidlo: N- --> N-ová
novy par: Babjar --> Babjarová	 pravidlo: N- --> N-ová
novy par: Babjár --> Babjárová	 pravidlo: N- --> N-ová
novy par: Babjuk --> Babjuková	 pravidlo: N- --> N-ová
novy par: Babkin --> Babkinová	 pravidlo: N- --> N-ová
novy par: Babkina --> Babkinová	 pravidlo: N-a --> N-ová
novy par: Babkovič --> Babkovičová	 pravidlo: N- --> N-ová
novy par: Babaková --> Babováková	 pravidlo: N-a --> N-ová
novy par: Báb --> Bábová	 pravidlo: N- --> N-ová
novy par: Bába --> Bábová	 pravidlo: N-a --> N-ová
novy par: Babrnák --> Babrnáková	 pravidlo: N- --> N-ová
novy par: Babs --> Babson	 pravidlo: N- --> N-on
novy par: Babtista --> Babtistová	 pravidlo: N-a --> N-ová
novy par: Babulák --> Babuláková	 pravidlo: N- --> N-ová
novy par: Babulenko --> Babulenková	 pravidlo: N- --> N-vá
novy par: Babulík --> Babulíková	 pravidlo: N- --> N-ová
novy par: Babuljak --> Babuljaková	 pravidlo: N- --> N-ová
novy par: Babula --> Babulová	 pravidlo: N-a --> N-ová
novy par: Babušík --> Babušíková	 pravidlo: N- --> N-ová
novy par: Babyrád --> Babyrádová	 pravidlo: N- --> N-ová
