# Format of the file:
# Lemma	Tag-prefix
# Tag prefix can be empty.

# Required by lemma suffices
pročisťovávat	V
profesionalisovávat	V
prokonsumovávat	V
promobilisovávat	V
pronormalisovávat	V
proscannovávat	V
prosení	N
prosignalisovávat	V
proskannovávat	V
proskanovávat	V
proskennovávat	V
proskenovávat	V
prošpekovávat	V
Prótagorás	N
Proteus	N
prouhelňovat	V
proumazat	V
provaselinovávat	V
průchodit	V
přearchívovávat	V
přeautomatisovávat	V
přebodovat	V
přebrnkat	V
přebubřet	V
přecensurovávat	V
přecentralisovávat	V
předpřádat	V
předpředejít	V
předřehtat	V
předřezávat	V
předvulkanisovávat	V
předzvětrat	V
přegeneralisovávat	V
přechlórovávat	V
přechraptět	V
přeinicialisovávat	V
přejasnět	V
překlimatisovávat	V
překypřet	V
přemobilisovávat	V
přemodrat	V
přenormalisovávat	V
přeorganisovávat	V
přeprsatět	V
přeresonovávat	V
přereznout	V
přesáknout	V
přescannovávat	V
přeskannovávat	V
přeskanovávat	V
přeskennovávat	V
přeskenovávat	V
přeslušnět	V
přespecialisovávat	V
přestrkat	V
přesvičovávat	V
přesynchronisovávat	V
přesystematisovávat	V
přešpekovávat	V
přešporovávat	V
přetýkat	V
přetloustnout	V
přeumazat	V
přeušlechtit	V
převaselinovávat	V
převážnět	V
převitaminisovávat	V
přiautomatisovávat	V
přicensurovávat	V
přidýchat	V
přichraptět	V
přiklimatisovávat	V
přikonsumovávat	V
přimobilisovávat	V
přímokorovat	V
připlacatět	V
připlešatět	V
přiscannovávat	V
přiskannovávat	V
přiskanovávat	V
přiskennovávat	V
přiskenovávat	V
přistabilisovávat	V
přistříknout	V
přisynchronisovávat	V
přišlejfovávat	V
přišpekovávat	V
přišporovávat	V
přišpórovávat	V
přitemnit	V
přiumazat	V
přivitaminisovávat	V
přivožrat	V
přizakrýt	V
puclík	N
pulzovávat	V
radlo	N
realisovávat	V
recensovávat	V
reinicialisovávat	V
rekompensovávat	V
reorganisovávat	V
reparátek	N
residovávat	V
resonovávat	V
resultovávat	V
resynchronisovávat	V
Retius	N
reversovávat	V
Rhadamynth	N
Rocque	N
Rosse	N
routrovávat	V
rozarchívovávat	V
rozcensurovávat	V
rozdivočet	V
rozdout	V
rozekvést	V
rozgeneralisovávat	V
rozinicialisovávat	V
rozkonsumovávat	V
rozmobilisovávat	V
rozpěrat	V
rozplizat	V
rozprecisovávat	V
rozpulsovaný	A
rozpulsovatelný	A
rozpulsovávat	V
rozresonovávat	V
rozsystematisovávat	V
roztesknět	V
rozvětrat	V
rozvlát	V
rýdovat	V
Sacuu	N
samohasit	V
samonabíjet	V
samonavádět	V
samorozpouštět	V
samospasit	V
scannovávat	V
Sciblerus	N
scrollovávat	V
scrolovávat	V
sesynchronisovávat	V
sešeřet	V
sfalšovávat	V
schátrat	V
schudnout	V
signalisovávat	V
skát	V
skandalisovávat	V
skannovávat	V
skanovávat	V
skennovávat	V
skenovávat	V
Skoč	N
smrtit	V
souměřit	V
souznět	V
specialisovávat	V
splihnout	V
sponsorovávat	V
spustnout	V
stabilisovávat	V
standardisovávat	V
stěrat	V
strukturalisovávat	V
synchronisovávat	V
systematisovávat	V
systemisovávat	V
šampanisovávat	V
škodil	N
špekovávat	V
špížovávat	V
šporovávat	V
špórovávat	V
Štepánka	N
šůrovávat	V
šusovávat	V
talentík	N
Támara	N
Tatassopolos	N
termokopírovat	V
terorisovávat	V
Thukydides	N
tištit	V
Tokoharu	N
transitovávat	V
tričo	N
Trujjillo	N
ublednout	V
učinkovávat	V
úchylárna	N
úkolník	N
umirňovávat	V
umobilisovávat	V
univerbisovávat	V
urbanisovávat	V
uskupení	N
ustabilisovávat	V
ustylisovávat	V
usurpovávat	V
usynchronisovávat	V
ušofírovávat	V
ušpórovávat	V
utilisovaný	A
utilisovatelný	A
utilisovávat	V
utrakvisovávat	V
vagonovaný	A
vagonovatelný	A
vagonovávat	V
vajšja	N
valorisovávat	V
Valvidia	N
vandalisovávat	V
vaselinovávat	V
vceňovat	V
Vejražka	N
velarisovávat	V
vestylisovávat	V
vikarisovávat	V
Vikrmáditja	N
Viracocha	N
visírovávat	V
visitýrovávat	V
visovávat	V
