@@ Made by:
@ cp ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules.rules.tsv rules.txt
@ … edit rules.txt to your needs …
@ ../derivations/add_relations_from_automatic_rules.pl rules.txt derinet092.slex after-autorules.tsv > autorules.outlog 2> autorules.errlog
@ mv rules.txt morfflex-new-autorules-rules.txt
@ grep '^@' ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules*.instances.tsv |sed 's/.*@[[:space:]]*//' |sort |uniq > negative_instances.txt
@ diff negative_instances.txt autorules.outlog | grep '^>' | sed 's/^>\ //' > morfflex-new-autorules-instances.txt
@ … edit morfflex-new-autorules-instances.txt and mark negative instances …
@ 
novy par: Alfréd --> Alfrédek	 pravidlo: N- --> N-ek
@ novy par: Alfredo --> Alfredová	 pravidlo: N- --> N-vá
novy par: algebra --> algebrový	 pravidlo: N-a --> A-ový
novy par: alginát --> alginátový	 pravidlo: N- --> A-ový
novy par: algoritmizace --> algoritmizační	 pravidlo: N-ce --> A-ční
novy par: alhidáda --> alhidádový	 pravidlo: N-a --> A-ový
@ novy par: Alia --> Aliová	 pravidlo: N-a --> N-ová
novy par: Alí --> Alíová	 pravidlo: N- --> N-ová
novy par: Alič --> Alička	 pravidlo: N- --> N-ka
novy par: aligátor --> aligátorský	 pravidlo: N- --> A-ský
novy par: Alík --> Alíček	 pravidlo: N-k --> N-ček
novy par: Alinč --> Alinčová	 pravidlo: N- --> N-ová
novy par: Alisa --> Alisová	 pravidlo: N-a --> N-ová
novy par: Alis --> Alisův	 pravidlo: N- --> A-ův
novy par: alkalizace --> alkalizační	 pravidlo: N-ce --> A-ční
novy par: alkohol --> alkoholek	 pravidlo: N- --> N-ek
novy par: Allain --> Allainová	 pravidlo: N- --> N-ová
novy par: Allende --> Allendeová	 pravidlo: N- --> N-ová
novy par: Allert --> Allertová	 pravidlo: N- --> N-ová
novy par: Alley --> Alleyová	 pravidlo: N- --> N-ová
novy par: Alliot --> Alliotová	 pravidlo: N- --> N-ová
novy par: Allison --> Allisonová	 pravidlo: N- --> N-ová
novy par: Allyson --> Allysonová	 pravidlo: N- --> N-ová
novy par: almandin --> almandinový	 pravidlo: N- --> A-ový
novy par: almara --> almarový	 pravidlo: N-a --> A-ový
novy par: almužnický --> almužnictví	 pravidlo: A-ký --> N-tví
novy par: almužnička --> almužničkový	 pravidlo: N-a --> A-ový
novy par: Alois --> Aloiska	 pravidlo: N- --> N-ka
novy par: alokuce --> alokuční	 pravidlo: N-ce --> A-ční
novy par: alometrie --> alometrický	 pravidlo: N-e --> A-cký
novy par: Aloni --> Aloniová	 pravidlo: N- --> N-ová
novy par: Alonso --> Alonsová	 pravidlo: N- --> N-vá
novy par: alopatie --> alopatický	 pravidlo: N-e --> A-cký
novy par: alopatrie --> alopatrický	 pravidlo: N-e --> A-cký
novy par: alpa --> alpový	 pravidlo: N-a --> A-ový
