liberálně_None	liberální_None
držitelský_None	držitel_None
onakhle_None	onaký_None
knihvazačství_None	knihvazač_None
exarchátní_None	exarchát_None
škaredivě_None	škaredivý_None
laloušek_None	lalouch_None
laloušek_None	lalok_None
rembrandtský_None	rembrandtovský_None
zdrávasek_None	zdrávas_None
aforističnost_None	aforistický_None
obščinný_None	obščina_None
svornostský_None	svornostenský_None
napojovati_None	napojiti_None
mluvozpytec_None	mluvozpyt_None
drolenina_None	drolina_None
květinkový_None	květina_None
všeněmecký_None	všeněmec_None
čtyřnásobek_None	čtyřnásobný_None
bezebeze_None	beze_None
vzdálenost_None	vzdálený_None
metrovský_None	geometr_None
střevlička_None	střevle_None
vystínovati_None	stínovati_None
odsloviti_None	sloviti_None
chytati_None	chytiti_None
chamtivý_None	chamtiti_None
výstrojový_None	výstrojný_None
výstrojový_None	výstrojní_None
vtmeliti_None	tmeliti_None
začátečnickost_None	začátečnický_None
kořenitý_None	kořen_None
kořenitý_None	koření_None
zakřivení_None	zakřiviti_None
reální_None	reálný_None
přítma_None	přítmí_None
odpapouškovati_None	papouškovati_None
tronátně_None	patronát_None
délka_None	Adéla_None
nefritický_None	nefritik_None
zahalení_None	zahaliti_None
narážlivě_None	narážlivý_None
úvahově_None	úvahový_None
prosincově_None	prosincový_None
opínati_None	opnouti_None
fěrtuch_None	fěrtoch_None
žebrový_None	žebro_None
přízvukově_None	přízvukový_None
kostkování_None	kostkovati_None
šňůrečka_None	šňůra_None
šňůrečka_None	šňůrka_None
kolonádový_None	kolonáda_None
oddělati_None	dělati_None
kořán_None	kořen_None
rozezvučovati_None	rozezvučeti_None
jíknouti_None	jíkati_None
omladinářský_None	omladinář_None
falcový_None	falc_None
zadudati_None	dudati_None
nestorský_None	nestor_None
tariférský_None	tarifér_None
pozorovávati_None	pozorovati_None
dědáček_None	děd_None
domodelovávati_None	domodelovati_None
zašťourati_None	šťourati_None
žahadélko_None	žihadlo_None
mazílek_None	mazel_None
vzdorně_None	vzdorný_None
šibenný_None	šibeniční_None
regionalistický_None	regionalista_None
přemontovati_None	montovati_None
vylháti_None	lháti_None
lahvářský_None	lahvář_None
chudoběnka_None	chudobka_None
zchromlost_None	zchromlý_None
Pragermánský_None	Pragermán_None
hostinnost_None	hostinný_None
karatelský_None	karatel_None
bordelový_None	bordel_None
překynutý_None	překynulý_None
zataláceti_None	taláceti_None
malformační_None	malformace_None
kolíbávat_None	kolébati_None
podseditý_None	podsaditý_None
podseditý_None	podsedlý_None
zledovatělost_None	zledovatělý_None
potahovati_None	potáhnouti_None
přenechávati_None	přenechati_None
komprehenzívnost_None	komprehensivní_None
clearingový_None	clearing_None
soudno_None	soudný_None
odpočatý_None	odpočinutý_None
odpočatý_None	odpočinutí_None
neprobadatelný_None	neprobádatelný_None
odpuštění_None	odpustiti_None
shodnost_None	shodný_None
vyzívnouti_None	zívnouti_None
milostníček_None	milostník_None
přikyseliti_None	kyseliti_None
učňovský_None	učeň_None
zpraviti_None	praviti_None
zpraviti_None	zpravitl_None
zkotlavěti_None	kotlavěti_None
sarkofágový_None	sarkofág_None
zamarkýrovat_None	markýrovat_None
hurónsky_None	hurónský_None
vyvaleně_None	vyvalený_None
průchodový_None	průchod_None
obšlehnouti_None	šlehnouti_None
obšlehnouti_None	ošlehnouti_None
frenezie_None	frenesie_None
vyhajat_None	hajat_None
pohladiti_None	hladiti_None
střelčí_None	střelec_None
vyboxovati_None	boxovati_None
tupohlavost_None	tupohlavý_None
mozaikovitý_None	mosaikovitý_None
zablokovati_None	blokovati_None
parasititi_None	parasitovati_None
zdrsnatělý_None	zdrsnělý_None
červenožlutě_None	červenožlutý_None
věrdunk_None	věrduňk_None
chřastiti_None	chřestiti_None
motivický_None	motiv_None
městysek_None	městys_None
nakrajovati_None	nakrájeti_None
nakrajovati_None	nakrojiti_None
eskalační_None	eskalace_None
poskytnouti_None	skytnouti_None
natoulati_None	toulati_None
podupovati_None	podupati_None
krápnouti_None	krápat_None
zákalový_None	zákal_None
cápavý_None	cápati_None
zašpičatěle_None	zašpičatělý_None
sykotavý_None	sykotati_None
dehydrogenisovati_None	dehydrogenovati_None
poschoďový_None	poschodí_None
rozmile_None	rozmilý_None
švátořit_None	švitořit_None
kultpropka_None	kultprop_None
kančuch_None	kančuk_None
vybledávati_None	vybledati_None
zbulíkovat_None	bulíkovat_None
zachytati_None	zachytávati_None
zachytati_None	chytati_None
pacholský_None	pacholek_None
bezúročně_None	bezúročný_None
vysvoboditelka_None	vysvoboditel_None
rozlítostněnost_None	rozlítostněný_None
divoce_None	divoký_None
oslušovati_None	oslušet_None
zdokonalitelnost_None	zdokonalitelný_None
čekistka_None	čekista_None
teatrálie_None	teatralia_None
přemáchnouti_None	máchnouti_None
zmládlost_None	zmládlý_None
jednotlivecky_None	jednotlivecký_None
fotosyntetický_None	fotosynthesa_None
řehonivě_None	řehnivý_None
pozobati_None	zobati_None
dikční_None	dikce_None
ilustračně_None	ilustrace_None
podlehle_None	podlehlý_None
popularisační_None	popularisace_None
stehýnko_None	stehno_None
vyklechtat_None	vyklektat_None
všímačný_None	všímavý_None
potencionálnost_None	potenciální_None
sialitický_None	sialit_None
trála_None	trala_None
prohandlovat_None	handlovat_None
vypukati_None	pukati_None
vypukati_None	vypuknouti_None
irigátorový_None	irigátor_None
natěračka_None	natěrač_None
spářet_None	spařovati_None
dolnoitalský_None	dolní_None
mhlavý_None	mha_None
nehostno_None	nehostný_None
humánnost_None	humánní_None
špinhaus_None	špinhauz_None
piruetka_None	pirueta_None
konspiračně_None	konspirace_None
podsební_None	podsední_None
zatratiti_None	tratiti_None
ztišovati_None	ztišiti_None
turecky_None	turecký_None
zhrstkovati_None	zhrsťovati_None
důvěrnice_None	důvěrník_None
občerstvení_None	občerstviti_None
hronský_None	Hron_None
nepostrádatelně_None	nepostrádatelný_None
pancéřový_None	pancíř_None
pancéřový_None	pancéř_None
Ptolemaiův_None	Ptolemaios_None
vyvrásňovati_None	vyvrásniti_None
štikový_None	štika_None
dopívati_None	dopíjeti_None
rozdupávati_None	rozdupati_None
zabarikádovávati_None	zabarikádovati_None
prosvětlovati_None	světlovati_None
prosvětlovati_None	prosvětliti_None
povynositi_None	vynositi_None
