# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

derivation	parent
chuchvalec#NNI??-----A---?	chumáč#NNI??-----A---?
chuť#NNF??-----A---?	choť#NNF??-----A---?
chroustat#V????--??-??I??	chrastit#V???---??-??I??
chrčet#V????--??-??I??	chrchlat#V????--??-??I??
matematika#NNF??-----A---?	chrestomatie#NNF??-----A---?
chromatika#NNF??-----A---?	chromozom#NNI??-----A---?
chronometr#NNI??-----A---?	chronický#AA???----??---?
chrápat#V????--??-??I??	chroptět#V????--??-??I??
chlastat#V????--??-??I??	chrstnout#V????--??-??P??
krám#NNI??-----A---?	chrám#NNI??-----A---?
chuj#NNI??-----A---?	chvojí#NNN??-----A---?
včil#Db-------------	chvíle#NNF??-----A---?
chvátat#V????--??-??I??	chřipka#NNF??-----A---?
chřipka#NNF??-----A---?	chřípí#NNN??-----A---?
cudný#A????----??---?	cibule#NNF??-----A---?
šifra#NNF??-----A---?	cifra#NNF??-----A---?
cimprcampr#NNIS4-----A----	cikcak#Db-------------
tikat#V????--??-??I??	cikcak#Db-------------
mišmaš#NNI??-----A---?	cikcak#Db-------------
zinek#NNI??-----A---?	cink#NNI??-----A---?
klinkat#V????--??-??I??	cinkat#V????--??-??I??
cirkus#NNI??-----A---?	ciráty#NNIP?-----A---?
kytara#NNF??-----A---?	citera#NNF??-----A---?
cedr#NNI??-----A---?	citron#NNI??-----A---?
čičorka#NNF??-----A---?	cizrna#NNF??-----A---?
cembalo#NNN??-----A---?	clavichord#NNI??-----A---?
akord#NNI??-----A---?	clavichord#NNI??-----A---?
klávesa#NNF??-----A---?	clavichord#NNI??-----A---?
slon#NNM??-----A---?	clonit#V????--??-??I??
cítit#V????--??-??I??	clonit#V????--??-??I??
klonit#V????--??-??I??	clonit#V????--??-??I??
klubko#NNN??-----A---?	klub#NNI??-----A---?
kroutit#V????--??-??I??	křeslo#NNN??-----A---?
krosna#NNF??-----A---?	křeslo#NNN??-----A---?
čoudit#V????--??-??I??	cmrndat#V????--??-??I??
čmoudit#V????--??-??I??	cmrndat#V????--??-??I??
amputovat#V????--??-??B??	computer#NNI??-----A---?
deputace#NNF??-----A---?	computer#NNI??-----A---?
takt#NNI??-----A---?	kontakt#NNI??-----A---?
cíp#NNI??-----A---?	cop#NNI??-----A---?
korzet#NNI??-----A---?	korpus#NNI??-----A---?
korporace#NNF??-----A---?	korpus#NNI??-----A---?
kurtizána#NNF??-----A---?	kurt#NNI??-----A---?
capat#V????--??-??I??	couvat#V????--??-??I??
frnknout#V????--??-??P??	cvrnkat#V????--??-??I??
cecek#NNI??-----A---?	cucat#V????--??-??I??
cumlat#V????--??-??I??	cucat#V????--??-??I??
cajk#NNI??-----A---?	cukat#V????--??-??I??
cvikr#NNI??-----A---?	cvakat#V????--??-??I??
cvok#NNM??-----A---?	cvakat#V????--??-??I??
svůj#AO??----------?	scvrknout#V????--??-??P??
osoba#NNF??-----A---?	scvrknout#V????--??-??P??
sobec#NNM??-----A---?	scvrknout#V????--??-??P??
svoboda#NNF??-----A---?	scvrknout#V????--??-??P??
cyklus#NNI??-----A---?	cyklon#NNI??-----A---?
cancat#V????--??-??I??	cákat#V????--??-??I??
cachtat#V????--??-??I??	cákat#V????--??-??I??
camrat#V????--??-??I??	cákat#V????--??-??I??
courat#V????--??-??I??	cár#NNI??-----A---?
hypotéka#NNF??-----A---?	cícha#NNF??-----A---?
král#NNM??-----A---?	císař#NNM??-----A---?
car#NNM??-----?---?	císař#NNM??-----A---?
datle#NNF??-----A---?	daktyl#NNI??-----A---?
daktyloskopie#NNF??-----A---?	daktyl#NNI??-----A---?
otálet#V????--??-??I??	daleký#A????----??---?
darmo#Db-------------	dar#NNI??-----A---?
dativ#NNI??-----A---?	datum#NNN??-----A---?
