# Derivations intermediate
# derivations that will be added to DeriNet based on Etym dict derivations list

# EtymDict: "derivation" is derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"
# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation


parent	grandparent	derivation
klacek#NNI??-----A---?	klacek#NNM??-----A---?	klacík#NNI??-----A---?
klasa#NNF??-----A---?	klas#NNI??-----A---?	klasový#AA???----??---?
klenot#NNI??-----A---?	klenot#NNM??-----A---?	klenotnický#AA???----??---?
podklesat#V????--??-??I??	klesat#V????--??-??I??	podklesávat#V????--??-??I??
kleštit#V????--??-??I??	klestit#V????--??-??I??	vykleštit#V????--??-??P??
klient#NNM??-----A---?	klient#NNI??-----A---?	klientela#NNF??-----A---?
click#NNI??-----A---?	klika#NNF??-----A---?	klikař#NNM??-----A---?
klopota#NNF??-----A---?	klopotit#V????--??-??I??	klopotný#AA???----??---?
klofan#NNI??-----A---?	klofat#V????--??-??I??	klofanec#NNI??-----A---?
klást#V????--??-??I??	kláda#NNF??-----A---?	kladina#NNF??-----A---?
kmín#NNI??-----A---?	kmen#NNI??-----A---?	kmínek#NNI??-----A---?
koala#NNF??-----A---?	koalice#NNF??-----A---?	koalovat#V????--??-??B??
kohout#NNM??-----A---?	kohout#NNI??-----A---?	kohoutí#AA???----1A---?
kolabovat#V????--??-??I??	kolaps#NNI??-----A---?	zkolabovat#V????--??-??P??
collegium#NNN??-----A---?	kolega#NNM??-----A----	kolegium#NNN??-----A---?
kola#NNF??-----A---?	kolo#NNN??-----A---?	kolový#AA???----??---?
kolos#NNI??-----A---?	kolos#NNM??-----A---?	kolosální#AA???----??---?
bota#NNF??-----A---?	kopat#V????--??-??I??	kopačka#NNF??-----A---?
stroj#NNI??-----A---?	kopírovat#V????--??-??I??	kopírka#NNF??-----A---?
máčet#V????--??-??I??	kopr#NNI??-----A---?	koprovka#NNF??-----A---?
korodovat#V????--??-??I??	koroze#NNF??-----A---?	zkorodovat#V????--??-??P??
kout#NNI??-----A---?	kout#V????--??-??I??	zákoutí#NNN??-----A---?
okuj#NNF??-----A---?	kovat#V????--??-??I??	okuje#NNF??-----A---?
kozák#NNM??-----A---?	kozák#NNI??-----A---?	kozácký#AA???----??---?
kořit#V????--??-??I??	kořen#NNI??-----A---?	kořenáč#NNI??-----A---?
kořen#NNIS2-----A---1	kořen#NNI??-----A---?	zakořenit#V????--??-??P??
kořen#NNI??-----A---?	kořen#NNM??-----A---?	kořenáč#NNI??-----A---?
policie#NNF??-----A---?	kriminál#NNI??-----A---?	kriminálka#NNF??-----A---?
kritika#NNF??-----A---?	krize#NNF??-----A---?	kritický#AA???----??---?
krejčí#NNM??-----A---?	krejčí#NNF??-----A---?	krejčovství#NNN??-----A---?
skupina#NNF??-----A---?	kupa#NNF??-----A---?	skupinový#AA???----??---?
kopa#NNF??-----A---?	kupa#NNF??-----A---?	kupka#NNF??-----A---?
kvik#NNI??-----A---?	kvičet#V????--??-??I??	kvikot#NNI??-----A---?
kyt#NNI??-----A---?	kyt#NNM??-----A---?	kytovat#V????--??-??I??
kádr#NNI??-----A---?	kádr#NNM??-----A---?	kádrový#AA???----??---?
kýla#NNF??-----A---?	kýl#NNI??-----A---?	kýlový#AA???----??---?
křen#NNM??-----A---?	křen#NNI??-----A---?	křenit#V????--??-??I??
kora#NNF??-----A---?	kůr#NNI??-----A---?	kůrový#AA???----??---?
sladit#V????--??-??I??	ladit#V????--??-??I??	soulad#NNI??-----A---?
lakýrna#NNF??-----A---?	lak#NNI??-----A---?	lakýrník#NNM??-----A---?
