anexní_A	anexe_None
diskusní_A	diskuse_None
bouřní_A	bouře_None
depresní_A	deprese_None
admisní_A	admise_None
precesní_A	precese_None

štědře_D	štědrý_None
šedomodře_D	šedomodrý_None
žlutomodře_D	žlutomodrý_None
ponuře_D	ponurý_None
ostře_D	ostrý_None
přechytře_D	přechytrý_None
přepestře_D	přepestrý_None
chytře_D	chytrý_None
bodře_D	bodrý_None
mokře_D	mokrý_None
spoře_D	sporý_None
zlatomodře_D	zlatomodrý_None
červenomodře_D	červenomodrý_None
staře_D	starý_None
bujaře_D	bujarý_None
přemoudře_D	přemoudrý_None
zelenomodře_D	zelenomodrý_None
choře_D	chorý_None
kypře_D	kyprý_None
předobře_D	předobrý_None

pragmatistický_A	pragmatista_None
prakticistický_A	prakticista_None
konstruktivistický_A	konstruktivista_None
presystolický_A	presystola_None
iracionalistický_A	iracionalista_None
avantgardistický_A	avantgardista_None
orgiastický_A	orgiasta_None
pogromistický_A	pogromista_None
karlistický_A	karlista_None
karikaturistický_A	karikaturista_None
subjektivistický_A	subjektivista_None
analistický_A	analista_None
suprematistický_A	suprematista_None
maximalistický_A	maximalista_None
evolucionistický_A	evolucionista_None
existencialistický_A	existencialista_None
chiliastický_A	chiliasta_None
syndikalistický_A	syndikalista_None
objektivistický_A	objektivista_None
filumenistický_A	filumenista_None
kolonialistický_A	kolonialista_None
voluntaristický_A	voluntarista_None

stíneček_N	stín_None
státeček_N	stát_None
škvoreček_N	škvor_None
podíleček_N	podíl_None
výhledeček_N	výhled_None
citeček_N	cit_None
máječek_N	máj_None
ústaveček_N	ústav_None
houfeček_N	houf_None
štofeček_N	štof_None
rumeček_N	rum_None
zápaleček_N	zápal_None
záměreček_N	záměr_None
závěreček_N	závěr_None
flámeček_N	flám_None
ráječek_N	ráj_None
tóneček_N	tón_None
chlumeček_N	chlum_None
příkladeček_N	příklad_None

křížek_N	kříž_None
pohrabáček_N	pohrabáč_None
střížek_N	stříž_None
pagáček_N	pagáč_None
špánek_N	špán_None
křemenáček_N	křemenáč_None
pořízek_N	poříz_None
huňáček_N	huňáč_None
břicháček_N	břicháč_None
zástupek_N	zástup_None
karabáček_N	karabáč_None
bolestínek_N	bolestín_None
šálek_N	šál_None
kopáček_N	kopáč_None
trusek_N	trus_None
kořenáček_N	kořenáč_None
příměsek_N	příměs_None
borek_N	bor_None
kafáček_N	kafáč_None
oddílek_N	oddíl_None

responsoriální_A	responsorium_None
patrimoniální_A	patrimonium_None
septální_A	septum_None
triviální_A	trivium_None
mediastinální_A	mediastinum_None
rektální_A	rektum_None
kolegiální_A	kolegium_None
aluviální_A	aluvium_None
prepuciální_A	prepucium_None
neutrální_A	neutrum_None
eluviální_A	eluvium_None
diluviální_A	diluvium_None
verbální_A	verbum_None
skrotální_A	skrotum_None
sympodiální_A	sympodium_None

deduktivní_A	dedukce_None
sugestivní_A	sugesce_None
imitativní_A	imitace_None
ilustrativní_A	ilustrace_None
konsekutivní_A	konsekuce_None
induktivní_A	indukce_None
purgativní_A	purgace_None
evolutivní_A	evoluce_None
evokativní_A	evokace_None
deklarativní_A	deklarace_None
imaginativní_A	imaginace_None
elektivní_A	elekce_None
konfederativní_A	konfederace_None
demonstrativní_A	demonstrace_None
rekognoskativní_A	rekognoskace_None
preparativní_A	preparace_None

Pařížan_N	Paříž_None
Vídeňan_N	Vídeň_None
Sibiřan_N	Sibiř_None
Texasan_N	Texas_None
Žižkovan_N	Žižkov_None
Haličan_N	Halič_None
Tunisan_N	Tunis_None
Habešan_N	Habeš_None
Říman_N	Řím_None
Kavkazan_N	Kavkaz_None
Vyškovan_N	Vyškov_None
Janovan_N	Janov_None
Smíchovan_N	Smíchov_None
Plzeňan_N	Plzeň_None
Pšovan_N	Pšov_None

volavčátko_N	volavče_None
nedochůdčátko_N	nedochůdče_None
vlaštovčátko_N	vlaštovče_None
zelenčátko_N	zelenče_None
vrabčátko_N	vrabče_None
jezevčátko_N	jezevče_None
dobytčátko_N	dobytče_None
štruplátko_N	štruple_None
ďoučátko_N	ďouče_None
čunčátko_N	čunče_None
myšátko_N	myše_None
štíhlátko_N	štíhle_None
liščátko_N	lišče_None
písklátko_N	pískle_None
zemčátko_N	zemče_None
vádrlátko_N	vádrle_None
lvíčátko_N	lvíče_None
