lemma	parents
ekofestival	-eko- festival
ekoforum	-eko- forum
ekostabilní	-eko- stabilní
ekotechnika	-eko- technika
ekomost	-eko- most
ekodům	-eko- dům
ekojarmark	-eko- jarmark
ekofond	-eko- fond
ekobus	-eko- bus
ekosféra	-eko- sféra
ekotechnologie	-eko- technologie
ekoforma	-eko- forma
ekostratigrafie	-eko- stratigrafie
ekoproblém	-eko- problém
fotofilm	-fot- film
fotoskupina	-fot- skupina
fotocentrum	-fot- centrum
fotosafari	-fot- safari
fotorezist	-fot- rezist
fotosoutěž	-fot- soutěž
fotokulomet	-fot- kulomet
fotoscéna	-fot- scéna
fotobatoh	-fot- batoh
fotomodel	-fot- model
fotokatoda	-fot- katoda
fotoaparát	-fot- aparát
fotoblesk	-fot- blesk
fotogeologie	-fot- geologie
fotobuňka	-fot- buňka
fototyristor	-fot- tyristor
fotopetice	-fot- petice
fotoprojekce	-fot- projekce
fotosenzor	-fot- senzor
fotoleporelo	-fot- leporelo
fotosystém	-fot- systém
fotomorfogeneze	-fot- morfogeneze
fotoburza	-fot- burza
fotostrana	-fot- strana
fotodetail	-fot- detail
fotoplátno	-fot- plátno
fototermín	-fot- termín
fotoautotrofie	-fot- autotrofie
fotovodič	-fot- vodič
fototeodolit	-fot- teodolit
fotokomora	-fot- komora
fotofór	-fot- fór
fotosenzitivní	-fot- senzitivní
fotoasambláž	-fot- asambláž
fotoreliéf	-fot- reliéf
fotokalendář	-fot- kalendář
fotodvojice	-fot- dvojice
fotoplotter	-fot- plotter
fotoobraz	-fot- obraz
fotorezistor	-fot- rezistor
fotomozaika	-fot- mozaika
fotokabina	-fot- kabina
fotometrie	-fot- metrie
fotolaboratoř	-fot- laboratoř
fotoreklama	-fot- reklama
fotofejeton	-fot- fejeton
fotometeor	-fot- meteor
fotoelektrický	-fot- elektrický
fotovrstva	-fot- vrstva
fototéka	-fot- téka
fotomuzeum	-fot- muzeum
fotokniha	-fot- kniha
fotokonverze	-fot- konverze
fotohistorie	-fot- historie
fotogravura	-fot- gravura
fotoakustika	-fot- akustika
fotostudio	-fot- studio
fotopásek	-fot- pásek
fotoreverzibilní	-fot- reverzibilní
fotoatelier	-fot- atelier
fotozboží	-fot- zboží
fotosalon	-fot- salon
fotolitografie	-fot- litografie
fotodatabáze	-fot- databáze
fotoesej	-fot- esej
fototest	-fot- test
fotogalerie	-fot- galerie
fotoservis	-fot- servis
fotocela	-fot- cela
fotosérie	-fot- série
fotoshop	-fot- shop
fotoarchiv	-fot- archiv
fotopráce	-fot- práce
fotoluminiscence	-fot- luminiscence
fotoschéma	-fot- schéma
fotoproud	-fot- proud
fotobrašna	-fot- brašna
fotomapa	-fot- mapa
fototoxický	-fot- toxický
fotoportrét	-fot- portrét
fotoradar	-fot- radar
fotosekce	-fot- sekce
fotopast	-fot- past
fotoateliér	-fot- ateliér
fotopóza	-fot- póza
fotobanka	-fot- banka
fototapeta	-fot- tapeta
fototropizmus	-fot- tropizmus
fotokronika	-fot- kronika
fotoalbum	-fot- album
fotorecepce	-fot- recepce
fotokoláž	-fot- koláž
fototip	-fot- tip
fotofiniš	-fot- finiš
fotoagentura	-fot- agentura
fotokazeta	-fot- kazeta
fotofobie	-fot- fobie
fotomateriál	-fot- materiál
fotofestival	-fot- festival
fotoreprodukce	-fot- reprodukce
fototechnika	-fot- technika
fototrofie	-fot- trofie
fotogram	-fot- gram
fotoškola	-fot- škola
fotokamera	-fot- kamera
fotoemise	-fot- emise
fotoanketa	-fot- anketa
fotoperioda	-fot- perioda
fototranzistor	-fot- tranzistor
fotoblog	-fot- blog
fotodokument	-fot- dokument
fotofirma	-fot- firma
fotomonografie	-fot- monografie
fotodioda	-fot- dioda
fotoeditor	-fot- editor
fotosféra	-fot- sféra
fotoamatér	-fot- amatér
fotosenzibilní	-fot- senzibilní
fotochemie	-fot- chemie
fotoromán	-fot- román
fototerapie	-fot- terapie
fotokiosek	-fot- kiosek
fotomobil	-fot- mobil
transkonduktance	-trans- konduktance
transnacionální	-trans- nacionální
transverzála	-trans- verzála
transakce	-trans- akce
transdermální	-trans- dermální
transmutovat	-trans- mutovat
transexpres	-trans- expres
transkortikální	-trans- kortikální
transkontejner	-trans- kontejner
turbomotor	turbo motor
turbodiesel	turbo diesel
turbokarta	turbo karta
turbofavorit	turbo favorit
turbopauza	turbo pauza
ultramikrofiš	-ultra- mikrofiš
ultratvrdý	-ultra- tvrdý
ultrapas	-ultra- pas
ultračervený	-ultra- červený
ultraradikál	-ultra- radikál
ultrazvuk	-ultra- zvuk
ultraortodoxní	-ultra- ortodoxní
ultramalý	-ultra- malý
ultrabazický	-ultra- bazický
ultrasonografie	-ultra- sonografie
ultravysoký	-ultra- vysoký
ultrafiltr	-ultra- filtr
ultrabohatý	-ultra- bohatý
ultramontanizmus	-ultra- montanizmus
ultrakrátkovlnný	-ultra- krátkovlnný
ultralehký	-ultra- lehký
ultratenký	-ultra- tenký
ultraizmus	-ultra- izmus
ultrabook	-ultra- book
ultraakustika	-ultra- akustika
ultrarychlý	-ultra- rychlý
ultrarevizionizmus	-ultra- revizionizmus
ultrapragmatický	-ultra- pragmatický
ultrananoplankton	-ultra- nanoplankton
ultratermostat	-ultra- termostat
ultratriatlon	-ultra- triatlon
ultramahagon	-ultra- mahagon
ultrajemný	-ultra- jemný
ultrakrátký	-ultra- krátký
ultranaturalizmus	-ultra- naturalizmus
ultralevý	-ultra- levý
ultrakatolík	-ultra- katolík
ultrakatolička	-ultra- katolička
ultrapřesný	-ultra- přesný
ultrastruktura	-ultra- struktura
krimifilm	-krimi- film
krimithriller	-krimi- thriller
krimicyklus	-krimi- cyklus
krimidrama	-krimi- drama
krimisérie	-krimi- série
krimikomedie	-krimi- komedie
krimiparodie	-krimi- parodie
krimiromán	-krimi- román
megasvět	-mega- svět
megacentrum	-mega- centrum
megawatt	-mega- watt
megaampér	-mega- ampér
megabar	-mega- bar
megakoncert	-mega- koncert
megashow	-mega- show
megavoltampér	-mega- voltampér
megadiskotéka	-mega- diskotéka
megaspora	-mega- spora
megafúze	-mega- fúze
megablok	-mega- blok
megabyte	-mega- byte
megaprogram	-mega- program
megabohatý	-mega- bohatý
megahertz	-mega- hertz
megastar	-mega- star
megareklama	-mega- reklama
megavolt	-mega- volt
megacolon	-mega- colon
megapixel	-mega- pixel
megaprojekt	-mega- projekt
megacyklus	-mega- cyklus
megastát	-mega- stát
megavar	-mega- var
megawatthodina	-mega- watthodina
megapole	-mega- pole
megatuna	-mega- tuna
megaměsto	-mega- město
megaveletrh	-mega- veletrh
megajoul	-mega- joul
megaboard	-mega- board
megaohm	-mega- ohm
megabecquerel	-mega- becquerel
megaplankton	-mega- plankton
megatrend	-mega- trend
megafestival	-mega- festival
megaflops	-mega- flops
megabaud	-mega- baud
megasoubor	-mega- soubor
