95272	desensibilizovat	desensibilizovat_:T	V	<<<sensibilní>>>	
96270	destalinizovat	destalinizovat_:T	V	678348	Stalin
96309	destilovat	destilovat_:T	V		
96376	destruovat	destruovat_:T	V		
96528	detailizovat	detailizovat_:T_:W	V	96542	detailní
96567	detašovat	detašovat_:T	V		
96588	detegovat	detegovat_:T	V		
96612	detekovat	detekovat_:T_:W	V		
96711	determinovat	determinovat_:T_:W	V		
96733	deterpenovat	deterpenovat_:W	V	724633	terpen
96801	detonovat	detonovat_:T	V		
96826	detoxifikovat	detoxifikovat_:T_:W	V	<<<toxifikovat>>>	
96851	detoxikovat	detoxikovat_:T_:W	V	731474	toxin
96892	detronizovat	detronizovat_:T	V		
97149	devalvovat	devalvovat_:T_:W	V		
97184	devastovat	devastovat_:T	V		
97363	developovat	developovat_:T	V		
97657	deviovat	deviovat_:T	V		
98317	dezaktivovat	dezaktivovat_:T	V	6178	aktivovat
98340	dezénovat	dezénovat_:T	V	98331	dezén
98381	dezertovat	dezertovat_:T_:W	V		
98476	dezinsektovat	dezinsektovat_:T	V		
98732	diabolisovat	diabolisovat_:T	V		
98997	dialogizovat	dialogizovat_:T	V	99812	dialogický
99273	diblíkovat	diblíkovat_:T	V	99263	diblík
99670	difamovat	difamovat_:T	V		
99709	diferenciovat	diferenciovat_:T	V		
99729	diferencovat	diferencovat_:T_:W	V		
99752	diferovat	diferovat_:T	V		
99794	difraktovat	difraktovat_:T	V		
99824	diftongizovat	diftongizovat_:T	V	106900	diftong
99845	difundovat	difundovat_:T	V		
99924	digitalizovat	digitalizovat_:T_:W	V	99940	digitální
100023	dichotomizovat	dichotomizovat_:W	V	137564	dichotomický
100131	diktovat	diktovat_:T	V		
100171	dilatovat	dilatovat_:T	V		
100222	diletovat	diletovat_:T_,h	V		
100286	dílovat	dílovat_:T	V	100238	díl
100337	dimensovat	dimensovat_:T	V	<<<dimense>>>	
100362	dimenzovat	dimenzovat_:T	V	100350	dimenze
100813	diplomovat	diplomovat_:T	V	100804	diplom
100923	direktovat	direktovat_:T_,n	V		
100965	dirigovat	dirigovat_:T	V		
100986	dirimovat	dirimovat_:T_:W_^(rozhodnout_výsledek_hlasování_při_rovnosti_hlasů)	V		
101021	dírkovat	dírkovat_:T	V	101003	dírka
101078	disasemblovat	disasemblovat_:T	V		
101120	disciplinovat	disciplinovat_:T_:W	V		
101159	diseminovat	diseminovat_:T	V		
101189	disgustovat	disgustovat_:T_:W	V		
101230	disimilovat	disimilovat_:T_:W	V		
101252	disimulovat	disimulovat_:T	V		
